,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,LargeBus2,13,0,1000013,1000025,LargeBus
1,SmallTruck0,14,0,1000000,1000013,SmallTruck
2,MediumTruck1,14,0,1000012,1000000,MediumTruck
3,SmallTruck3,14,0,1000025,1000013,SmallTruck
4,LargeBus5,13,0,1000012,1000000,LargeBus
5,MediumTruck4,14,0,1000000,1000025,MediumTruck
6,HeavyTruck6,14,0,1000013,1000025,HeavyTruck
7,HeavyTruck7,14,0,1000025,1000013,HeavyTruck
8,LargeBus9,13,0,1000012,1000000,LargeBus
9,MediumTruck8,14,0,1000000,1000025,MediumTruck
10,MediumTruck10,14,0,1000013,1000025,MediumTruck
11,HeavyTruck11,14,0,1000025,1000013,HeavyTruck
12,LargeBus14,13,0,1000013,1000012,LargeBus
13,MediumTruck12,14,0,1000000,1000012,MediumTruck
14,MediumTruck13,14,0,1000012,1000000,MediumTruck
15,MediumTruck15,14,0,1000025,1000013,MediumTruck
16,LargeBus18,13,0,1000013,1000025,LargeBus
17,SmallTruck16,14,0,1000000,1000012,SmallTruck
18,MediumTruck17,14,0,1000012,1000000,MediumTruck
19,SmallTruck19,14,0,1000025,1000013,SmallTruck
20,MiniBus20,13,0,1000000,1000013,MiniBus
21,MiniBus21,13,0,1000012,1000013,MiniBus
22,MiniBus23,13,0,1000025,1000000,MiniBus
23,MediumTruck22,14,0,1000013,1000025,MediumTruck
24,LargeBus24,13,0,1000000,1000013,LargeBus
25,MiniBus26,13,0,1000013,1000025,MiniBus
26,LargeBus27,13,0,1000025,1000013,LargeBus
27,SmallTruck25,14,0,1000012,1000000,SmallTruck
28,LargeBus29,13,0,1000012,1000000,LargeBus
29,LargeBus31,13,0,1000025,1000000,LargeBus
30,MediumTruck28,14,0,1000000,1000012,MediumTruck
31,SmallTruck30,14,0,1000013,1000025,SmallTruck
32,LargeBus33,13,0,1000012,1000000,LargeBus
33,LargeBus34,13,0,1000013,1000000,LargeBus
34,LargeBus35,13,0,1000025,1000013,LargeBus
35,MediumTruck32,14,0,1000000,1000013,MediumTruck
36,LargeBus36,13,0,1000000,1000012,LargeBus
37,MediumTruck37,14,0,1000012,1000000,MediumTruck
38,MediumTruck38,14,0,1000013,1000025,MediumTruck
39,MediumTruck39,14,0,1000025,1000013,MediumTruck
40,MediumTruck43,13,0,1000025,1000012,MediumTruck
41,SmallTruck40,14,0,1000000,1000012,SmallTruck
42,MediumTruck41,14,0,1000012,1000000,MediumTruck
43,MediumTruck42,14,0,1000013,1000025,MediumTruck
44,MiniBus46,13,0,1000013,1000025,MiniBus
45,MediumTruck44,14,0,1000000,1000025,MediumTruck
46,SmallTruck45,14,0,1000012,1000000,SmallTruck
47,HeavyTruck47,14,0,1000025,1000013,HeavyTruck
48,LargeBus48,13,0,1000000,1000012,LargeBus
49,LargeBus50,13,0,1000013,1000025,LargeBus
50,SmallTruck49,14,0,1000012,1000000,SmallTruck
51,MediumTruck51,14,0,1000025,1000013,MediumTruck
52,LargeBus52,13,0,1000000,1000025,LargeBus
53,MiniBus55,13,0,1000025,1000013,MiniBus
54,HeavyTruck53,14,0,1000012,1000000,HeavyTruck
55,HeavyTruck54,14,0,1000013,1000000,HeavyTruck
56,LargeBus57,13,0,1000012,1000000,LargeBus
57,MiniBus59,13,0,1000025,1000013,MiniBus
58,MediumTruck56,14,0,1000000,1000012,MediumTruck
59,MediumTruck58,14,0,1000013,1000012,MediumTruck
60,MediumTruck63,13,0,1000025,1000012,MediumTruck
61,MediumTruck60,14,0,1000000,1000012,MediumTruck
62,MediumTruck61,14,0,1000012,1000000,MediumTruck
63,SmallTruck62,14,0,1000013,1000025,SmallTruck
64,MediumTruck65,13,0,1000012,1000025,MediumTruck
65,SmallTruck64,14,0,1000000,1000025,SmallTruck
66,MediumTruck66,14,0,1000013,1000025,MediumTruck
67,MediumTruck67,14,0,1000025,1000013,MediumTruck
68,MiniBus68,13,0,1000000,1000012,MiniBus
69,MediumTruck69,13,0,1000012,1000025,MediumTruck
70,MediumTruck70,14,0,1000013,1000025,MediumTruck
71,SmallTruck71,14,0,1000025,1000000,SmallTruck
72,SmallTruck73,13,0,1000012,1000025,SmallTruck
73,LargeBus75,13,0,1000025,1000013,LargeBus
