,Truck id,Bridge id,Waiting time,Type
0,MediumTruck1,1000010,0,MediumTruck
1,SmallTruck3,1000023,0,SmallTruck
2,SmallTruck0,1000002,0,SmallTruck
3,LargeBus2,1000015,0,LargeBus
4,SmallTruck0,1000004,0,SmallTruck
5,MediumTruck1,1000008,0,MediumTruck
6,LargeBus2,1000017,0,LargeBus
7,SmallTruck3,1000021,0,SmallTruck
8,LargeBus5,1000010,0,LargeBus
9,HeavyTruck7,1000023,0,HeavyTruck
10,LargeBus2,1000021,0,LargeBus
11,MediumTruck4,1000002,0,MediumTruck
12,HeavyTruck6,1000015,0,HeavyTruck
13,SmallTruck3,1000017,0,SmallTruck
14,SmallTruck0,1000017,0,SmallTruck
15,MediumTruck1,1000004,0,MediumTruck
16,MediumTruck4,1000004,0,MediumTruck
17,LargeBus5,1000008,0,LargeBus
18,HeavyTruck6,1000017,0,HeavyTruck
19,HeavyTruck7,1000021,0,HeavyTruck
20,MediumTruck1,1000002,0,MediumTruck
21,LargeBus2,1000023,0,LargeBus
22,SmallTruck3,1000015,0,SmallTruck
23,SmallTruck0,1000015,0,SmallTruck
24,LargeBus9,1000010,0,LargeBus
25,HeavyTruck11,1000023,0,HeavyTruck
26,MediumTruck8,1000002,0,MediumTruck
27,MediumTruck10,1000015,0,MediumTruck
28,MediumTruck4,1000021,0,MediumTruck
29,LargeBus5,1000004,0,LargeBus
30,HeavyTruck6,1000021,0,HeavyTruck
31,HeavyTruck7,1000017,0,HeavyTruck
32,LargeBus5,1000002,0,LargeBus
33,MediumTruck8,1000004,0,MediumTruck
34,LargeBus9,1000008,0,LargeBus
35,MediumTruck10,1000017,0,MediumTruck
36,HeavyTruck11,1000021,0,HeavyTruck
37,HeavyTruck7,1000015,0,HeavyTruck
38,MediumTruck4,1000023,0,MediumTruck
39,HeavyTruck6,1000023,0,HeavyTruck
40,MediumTruck13,1000010,0,MediumTruck
41,MediumTruck15,1000023,0,MediumTruck
42,MediumTruck12,1000002,0,MediumTruck
43,LargeBus14,1000015,0,LargeBus
44,MediumTruck8,1000021,0,MediumTruck
45,LargeBus9,1000004,0,LargeBus
46,MediumTruck10,1000021,0,MediumTruck
47,HeavyTruck11,1000017,0,HeavyTruck
48,LargeBus9,1000002,0,LargeBus
49,MediumTruck12,1000004,0,MediumTruck
50,MediumTruck13,1000008,0,MediumTruck
51,LargeBus14,1000017,0,LargeBus
52,MediumTruck15,1000021,0,MediumTruck
53,HeavyTruck11,1000015,0,HeavyTruck
54,MediumTruck8,1000023,0,MediumTruck
55,MediumTruck10,1000023,0,MediumTruck
56,MediumTruck17,1000010,0,MediumTruck
57,SmallTruck19,1000023,0,SmallTruck
58,LargeBus14,1000008,0,LargeBus
59,SmallTruck16,1000002,0,SmallTruck
60,LargeBus18,1000015,0,LargeBus
61,MediumTruck12,1000008,0,MediumTruck
62,MediumTruck15,1000017,0,MediumTruck
63,MediumTruck13,1000004,0,MediumTruck
64,SmallTruck16,1000004,0,SmallTruck
65,MediumTruck17,1000008,0,MediumTruck
66,LargeBus18,1000017,0,LargeBus
67,SmallTruck19,1000021,0,SmallTruck
68,MediumTruck13,1000002,0,MediumTruck
69,LargeBus14,1000010,0,LargeBus
70,MediumTruck15,1000015,0,MediumTruck
71,MediumTruck12,1000010,0,MediumTruck
72,MiniBus21,1000010,0,MiniBus
73,MiniBus23,1000023,0,MiniBus
74,LargeBus18,1000021,0,LargeBus
75,MiniBus20,1000002,0,MiniBus
76,MediumTruck22,1000015,0,MediumTruck
77,SmallTruck16,1000008,0,SmallTruck
78,SmallTruck19,1000017,0,SmallTruck
79,MediumTruck17,1000004,0,MediumTruck
80,MiniBus20,1000004,0,MiniBus
81,MiniBus21,1000008,0,MiniBus
82,MediumTruck22,1000017,0,MediumTruck
83,MiniBus23,1000021,0,MiniBus
84,MediumTruck17,1000002,0,MediumTruck
85,LargeBus18,1000023,0,LargeBus
86,SmallTruck19,1000015,0,SmallTruck
87,SmallTruck16,1000010,0,SmallTruck
88,SmallTruck25,1000010,0,SmallTruck
89,LargeBus27,1000023,0,LargeBus
90,LargeBus24,1000002,0,LargeBus
91,MiniBus26,1000015,0,MiniBus
92,MiniBus20,1000017,0,MiniBus
93,MiniBus21,1000017,0,MiniBus
94,MediumTruck22,1000021,0,MediumTruck
95,MiniBus23,1000004,0,MiniBus
96,MiniBus21,1000015,0,MiniBus
97,MiniBus23,1000002,0,MiniBus
98,LargeBus24,1000004,0,LargeBus
99,SmallTruck25,1000008,0,SmallTruck
100,MiniBus26,1000017,0,MiniBus
101,LargeBus27,1000021,0,LargeBus
102,MiniBus20,1000015,0,MiniBus
103,MediumTruck22,1000023,0,MediumTruck
104,LargeBus29,1000010,0,LargeBus
105,LargeBus31,1000023,0,LargeBus
106,MiniBus26,1000021,0,MiniBus
107,MediumTruck28,1000002,0,MediumTruck
108,SmallTruck30,1000015,0,SmallTruck
109,LargeBus24,1000017,0,LargeBus
110,LargeBus27,1000017,0,LargeBus
111,SmallTruck25,1000004,0,SmallTruck
112,LargeBus27,1000015,0,LargeBus
113,MediumTruck28,1000004,0,MediumTruck
114,LargeBus29,1000008,0,LargeBus
115,SmallTruck30,1000017,0,SmallTruck
116,LargeBus31,1000021,0,LargeBus
117,LargeBus24,1000015,0,LargeBus
118,SmallTruck25,1000002,0,SmallTruck
119,MiniBus26,1000023,0,MiniBus
120,LargeBus33,1000010,0,LargeBus
121,LargeBus35,1000023,0,LargeBus
122,MediumTruck32,1000002,0,MediumTruck
123,LargeBus34,1000015,0,LargeBus
124,MediumTruck28,1000008,0,MediumTruck
125,LargeBus29,1000004,0,LargeBus
126,SmallTruck30,1000021,0,SmallTruck
127,LargeBus31,1000004,0,LargeBus
128,LargeBus29,1000002,0,LargeBus
129,LargeBus31,1000002,0,LargeBus
130,MediumTruck32,1000004,0,MediumTruck
131,LargeBus33,1000008,0,LargeBus
132,LargeBus34,1000017,0,LargeBus
133,LargeBus35,1000021,0,LargeBus
134,MediumTruck28,1000010,0,MediumTruck
135,SmallTruck30,1000023,0,SmallTruck
136,MediumTruck37,1000010,0,MediumTruck
137,MediumTruck39,1000023,0,MediumTruck
138,LargeBus36,1000002,0,LargeBus
139,MediumTruck38,1000015,0,MediumTruck
140,LargeBus33,1000004,0,LargeBus
141,LargeBus34,1000004,0,LargeBus
142,LargeBus35,1000017,0,LargeBus
143,MediumTruck32,1000017,0,MediumTruck
144,LargeBus33,1000002,0,LargeBus
145,LargeBus35,1000015,0,LargeBus
146,LargeBus36,1000004,0,LargeBus
147,MediumTruck37,1000008,0,MediumTruck
148,MediumTruck38,1000017,0,MediumTruck
149,MediumTruck39,1000021,0,MediumTruck
150,LargeBus34,1000002,0,LargeBus
151,MediumTruck32,1000015,0,MediumTruck
152,MediumTruck41,1000010,0,MediumTruck
153,MediumTruck43,1000023,0,MediumTruck
154,LargeBus36,1000008,0,LargeBus
155,SmallTruck40,1000002,0,SmallTruck
156,MediumTruck42,1000015,0,MediumTruck
157,MediumTruck38,1000021,0,MediumTruck
158,MediumTruck39,1000017,0,MediumTruck
159,MediumTruck37,1000004,0,MediumTruck
160,SmallTruck40,1000004,0,SmallTruck
161,MediumTruck41,1000008,0,MediumTruck
162,MediumTruck42,1000017,0,MediumTruck
163,MediumTruck43,1000021,0,MediumTruck
164,LargeBus36,1000010,0,LargeBus
165,MediumTruck37,1000002,0,MediumTruck
166,MediumTruck39,1000015,0,MediumTruck
167,MediumTruck38,1000023,0,MediumTruck
168,SmallTruck45,1000010,0,SmallTruck
169,HeavyTruck47,1000023,0,HeavyTruck
170,MediumTruck44,1000002,0,MediumTruck
171,MiniBus46,1000015,0,MiniBus
172,SmallTruck40,1000008,0,SmallTruck
173,MediumTruck42,1000021,0,MediumTruck
174,MediumTruck43,1000008,0,MediumTruck
175,MediumTruck41,1000004,0,MediumTruck
176,MediumTruck44,1000004,0,MediumTruck
177,SmallTruck45,1000008,0,SmallTruck
178,MiniBus46,1000017,0,MiniBus
179,HeavyTruck47,1000021,0,HeavyTruck
180,MediumTruck41,1000002,0,MediumTruck
181,SmallTruck40,1000010,0,SmallTruck
182,MediumTruck42,1000023,0,MediumTruck
183,MediumTruck43,1000010,0,MediumTruck
184,SmallTruck49,1000010,0,SmallTruck
185,MediumTruck51,1000023,0,MediumTruck
186,MiniBus46,1000021,0,MiniBus
187,LargeBus48,1000002,0,LargeBus
188,LargeBus50,1000015,0,LargeBus
189,MediumTruck44,1000021,0,MediumTruck
190,HeavyTruck47,1000017,0,HeavyTruck
191,SmallTruck45,1000004,0,SmallTruck
192,LargeBus48,1000004,0,LargeBus
193,SmallTruck49,1000008,0,SmallTruck
194,LargeBus50,1000017,0,LargeBus
195,MediumTruck51,1000021,0,MediumTruck
196,SmallTruck45,1000002,0,SmallTruck
197,MiniBus46,1000023,0,MiniBus
198,HeavyTruck47,1000015,0,HeavyTruck
199,MediumTruck44,1000023,0,MediumTruck
200,HeavyTruck53,1000010,0,HeavyTruck
201,MiniBus55,1000023,0,MiniBus
202,LargeBus48,1000008,0,LargeBus
203,LargeBus50,1000021,0,LargeBus
204,LargeBus52,1000002,0,LargeBus
205,HeavyTruck54,1000015,0,HeavyTruck
206,MediumTruck51,1000017,0,MediumTruck
207,SmallTruck49,1000004,0,SmallTruck
208,LargeBus52,1000004,0,LargeBus
209,HeavyTruck53,1000008,0,HeavyTruck
210,HeavyTruck54,1000017,0,HeavyTruck
211,MiniBus55,1000021,0,MiniBus
212,LargeBus48,1000010,0,LargeBus
213,SmallTruck49,1000002,0,SmallTruck
214,LargeBus50,1000023,0,LargeBus
215,MediumTruck51,1000015,0,MediumTruck
216,LargeBus57,1000010,0,LargeBus
217,MiniBus59,1000023,0,MiniBus
218,LargeBus52,1000021,0,LargeBus
219,MediumTruck56,1000002,0,MediumTruck
220,MediumTruck58,1000015,0,MediumTruck
221,MiniBus55,1000017,0,MiniBus
222,HeavyTruck53,1000004,0,HeavyTruck
223,HeavyTruck54,1000004,0,HeavyTruck
224,MiniBus55,1000015,0,MiniBus
225,MediumTruck56,1000004,0,MediumTruck
226,LargeBus57,1000008,0,LargeBus
227,MediumTruck58,1000017,0,MediumTruck
228,MiniBus59,1000021,0,MiniBus
229,LargeBus52,1000023,0,LargeBus
230,HeavyTruck53,1000002,0,HeavyTruck
231,HeavyTruck54,1000002,0,HeavyTruck
232,MediumTruck61,1000010,0,MediumTruck
233,MediumTruck63,1000023,0,MediumTruck
234,MediumTruck60,1000002,0,MediumTruck
235,SmallTruck62,1000015,0,SmallTruck
236,MediumTruck56,1000008,0,MediumTruck
237,LargeBus57,1000004,0,LargeBus
238,MediumTruck58,1000008,0,MediumTruck
