road,id,model_type,condition,name,lat,lon,length
N1,N1_LRPS,sourcesink,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0
N1,N1_link0,link,,,23.70238323,90.45109704,1800
N1,N1_LRP001a,bridge,A,.,23.69873866,90.45886108,11.3
N1,N1_link1,link,,,23.69670125,90.473318,3125
N1,N1_LRP004b,bridge,A,.,23.69466384,90.48777492,6.6
N1,N1_link2,link,,,23.70033192,90.50463018,3838
N1,N1_LRP009a-N2_LRPS,intersection,,,23.706,90.52148545,0
N1,N1_link3,link,,,23.70552995,90.5223498,213
N1,N1_LRP008b,bridge,A,Kanch pur Bridge.,23.70505989,90.52321415,394.23
N1,N1_link4,link,,,23.69972525,90.53039411,1904
N1,N1_LRP010b,bridge,A,NOYAPARA CULVERT,23.69439061,90.53757408,6.3
N1,N1_link5,link,,,23.6943465,90.53764072,17
N1,N1_LRP010c,bridge,A,ADUPUR CULVERT,23.69430239,90.53770737,6.3
N1,N1_link6,link,,,23.69333127,90.53931288,399
N1,N1_LRP011a,bridge,A,NAYABARI KASPUR BOX CULVERT,23.69236015,90.54091839,8.3
N1,N1_link7,link,,,23.69163604,90.54319044,512
N1,N1_LRP011c,bridge,B,NAYABARI BOX CULVERT,23.69091193,90.5454625,10.6
N1,N1_link8,link,,,23.69066412,90.5460297,128
N1,N1_LRP012c-N105_LRPS,intersection,,,23.6904163,90.5465969,0
N1,N1_link9,link,,,23.68941431,90.54757771,303
N1,N1_LRP012a,bridge,A,KHAS PARA BOX CULVERT,23.68841233,90.54855853,9.3
N1,N1_link10,link,,,23.68836603,90.54860417,14
N1,N1_LRP012b,bridge,A,DAWAN BAG BOX CULVERT,23.68831973,90.54864981,6.1
N1,N1_link11,link,,,23.68695138,90.54992889,407
N1,N1_LRP013a,bridge,A,Madanpur Bridge.(L),23.68558303,90.55120798,27.5
N1,N1_link12,link,,,23.6854725,90.55128358,28
N1,N1_LRP013b,bridge,A,Madanpur Bridge(R),23.68536198,90.55135918,27.5
N1,N1_link13,link,,,23.68158274,90.55358931,886
N1,N1_LRP014a,bridge,A,KAWTALA BOX CULVERT,23.6778035,90.55581943,11.9
N1,N1_link14,link,,,23.66588788,90.56661493,3648
N1,N1_LRP018b,bridge,A,Darikandi Bridge (R),23.65397226,90.57741042,20.45
N1,N1_link15,link,,,23.65186333,90.58097971,871
N1,N1_LRP018c,bridge,A,Sonakhal Bridge(L),23.6497544,90.58454901,25.5
N1,N1_link16,link,,,23.64385439,90.5891082,1667
N1,N1_LRP020a,bridge,A,KRIBORDI BOX CULVERT,23.63795437,90.5936674,6
N1,N1_link17,link,,,23.63321061,90.59798449,1424
N1,N1_LRP021c,bridge,A,Marikhali Bridge(L),23.62846685,90.60230157,86.92
N1,N1_link18,link,,,23.62305382,90.60592609,1412
N1,N1_LRP023a,bridge,A,ASHIR CHAR (Right),23.6176408,90.60955061,224.8
N1,N1_link19,link,,,23.61561409,90.61022678,485
N1,N1_LRP023d,bridge,A,Asharirchar-2 Bridge.(R),23.61358738,90.61090296,119.32
N1,N1_link20,link,,,23.60817349,90.61321733,1312
N1,N1_LRP024a,bridge,A,Meghna Bridge,23.60275959,90.6155317,924.85
N1,N1_link21,link,,,23.59787074,90.62175082,1722
N1,N1_LRP026a,bridge,A,TATULTALA CULVERT,23.59298188,90.62796994,5.6
N1,N1_link22,link,,,23.59189537,90.6291034,337
N1,N1_LRP026b,bridge,A,BAILAKANDI CULVERT,23.59080885,90.63023686,5.5
N1,N1_link23,link,,,23.58856349,90.63237314,668
N1,N1_LRP027a,bridge,A,MALUAKANDI CULVEDRT,23.58631812,90.63450942,5.6
N1,N1_link24,link,,,23.58214907,90.63821436,1195
N1,N1_LRP028b,bridge,A,Bhater char Bridge (L),23.57798002,90.64191931,172.1
N1,N1_link25,link,,,23.57480533,90.64366762,823
N1,N1_LRP029a,bridge,A,Anarpara Bridge (L),23.57163063,90.64541592,29.85
N1,N1_link26,link,,,23.56881701,90.64701982,704
N1,N1_LRP030a,bridge,A,VITIKANDA - ANAR PUR CULVERT,23.5660034,90.64862372,34.7
N1,N1_link27,link,,,23.56259721,90.65218565,1066
N1,N1_LRP031a,bridge,A,Alipur bridge(R),23.55919103,90.65574757,27.4
N1,N1_link28,link,,,23.55744966,90.6577445,564
N1,N1_LRP032a,bridge,A,Bhaber char Bridge(R),23.55570829,90.65974142,29.85
N1,N1_link29,link,,,23.55372524,90.66204765,649
N1,N1_LRP032d,bridge,A,Baushia Bridge(R),23.55174219,90.66435388,29.87
N1,N1_link30,link,,,23.54973997,90.66670464,656
N1,N1_LRP033a,bridge,A,PURRANBUICHE BOX CULVERT,23.54773774,90.66905541,9.1
N1,N1_link31,link,,,23.54768119,90.66912374,19
N1,N1_LRP033b,bridge,A,NOYAPARA,23.54762464,90.66919207,5.2
N1,N1_link32,link,,,23.54515504,90.67201064,795
