road,id,model_type,break_prob,name,lat,lon,length,condition
N1,N1_LRPS,sourcesink,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.0,
N1,N1_link0,link,,,23.702383230000002,90.45109703999995,1800.0,
N1,N1_LRP001a,bridge,0.0,.,23.69873866,90.4588610799999,11.3,
N1,N1_link1,link,,,23.6967012481818,90.47331799909085,3125.0,
N1,N1_LRP004b,bridge,0.0,.,23.6946638363636,90.4877749181818,6.6,
N1,N1_link2,link,,,23.7003319181818,90.5046301840909,3838.0,
N1,N1_LRP009a-N2_LRPS,intersection,,,23.706,90.52148545,0.0,
N1,N1_link3,link,,,23.70019530706805,90.52952976374345,2117.000000000001,
N1,N1_LRP010b,bridge,0.0,NOYAPARA CULVERT,23.6943906141361,90.5375740774869,6.3,
N1,N1_link4,link,,,23.694346500525953,90.53764072472475,16.99999999999946,
N1,N1_LRP010c,bridge,0.0,ADUPUR CULVERT,23.6943023869158,90.5377073719626,6.3,
N1,N1_link5,link,,,23.693331269392452,90.5393128808411,398.99999999999915,
N1,N1_LRP011a,bridge,0.0,NAYABARI KASPUR BOX CULVERT,23.6923601518691,90.5409183897196,8.3,
N1,N1_link6,link,,,23.69138822593455,90.5437576448598,640.0000000000006,
N1,N1_LRP012c-N105_LRPS,intersection,,,23.6904163,90.5465969,0.0,
N1,N1_link7,link,,,23.6894143130102,90.54757771454081,303.0000000000008,
N1,N1_LRP012a,bridge,0.0,KHAS PARA BOX CULVERT,23.6884123260204,90.5485585290816,9.3,
N1,N1_link8,link,,,23.6883660295918,90.5486041683673,13.999999999999346,
N1,N1_LRP012b,bridge,0.0,DAWAN BAG BOX CULVERT,23.6883197331632,90.548649807653,6.1,
N1,N1_link9,link,,,23.6830616165816,90.55223462132645,1320.9999999999998,
N1,N1_LRP014a,bridge,0.0,KAWTALA BOX CULVERT,23.6778035,90.5558194349999,11.9,
N1,N1_link10,link,,,23.657878935769197,90.57474341634611,6186.000000000002,
N1,N1_LRP020a,bridge,0.0,KRIBORDI BOX CULVERT,23.6379543715384,90.5936673976923,6.0,
N1,N1_link11,link,,,23.627797584004448,90.60160900414024,2835.9999999999986,
N1,N1_LRP023a,bridge,0.0006981169031030527,ASHIR CHAR (Right),23.6176407964705,90.6095506105882,224.8,
N1,N1_link12,link,,,23.6053113396299,90.61876027384005,3518.999999999998,
N1,N1_LRP026a,bridge,0.0,TATULTALA CULVERT,23.5929818827893,90.6279699370919,5.6,
N1,N1_link13,link,,,23.59189536876805,90.62910339845101,337.0000000000033,
N1,N1_LRP026b,bridge,0.0,BAILAKANDI CULVERT,23.5908088547468,90.6302368598101,5.5,
N1,N1_link14,link,,,23.588563488643402,90.6323731402597,667.9999999999993,
