,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,SmallTruck1,19,0,1000012,1000000,SmallTruck
1,LargeBus5,15,0,1000012,1000000,LargeBus
2,MediumTruck4,18,0,1000000,1000025,MediumTruck
3,HeavyTruck8,18,0,1000000,1000012,HeavyTruck
4,HeavyTruck9,18,0,1000012,1000000,HeavyTruck
5,LargeBus2,29,14,1000013,1000025,LargeBus
6,LargeBus12,15,0,1000000,1000012,LargeBus
7,LargeBus13,15,0,1000012,1000000,LargeBus
8,LargeBus15,15,0,1000025,1000000,LargeBus
9,LargeBus16,15,0,1000000,1000012,LargeBus
10,MiniBus3,38,16,1000025,1000013,MiniBus
11,MiniBus0,39,17,1000000,1000013,MiniBus
12,HeavyTruck6,36,18,1000013,1000025,HeavyTruck
13,HeavyTruck11,31,13,1000025,1000013,HeavyTruck
14,HeavyTruck7,37,19,1000025,1000013,HeavyTruck
15,MediumTruck20,18,0,1000000,1000025,MediumTruck
16,MediumTruck21,18,0,1000012,1000000,MediumTruck
17,SmallTruck23,19,0,1000025,1000000,SmallTruck
18,SmallTruck10,35,15,1000013,1000025,SmallTruck
19,MediumTruck24,18,0,1000000,1000025,MediumTruck
20,LargeBus28,15,0,1000000,1000012,LargeBus
21,MiniBus25,21,0,1000012,1000000,MiniBus
22,MiniBus17,33,11,1000012,1000013,MiniBus
23,MediumTruck29,18,0,1000012,1000025,MediumTruck
24,MiniBus14,39,18,1000013,1000025,MiniBus
25,LargeBus22,29,14,1000013,1000025,LargeBus
26,LargeBus33,15,0,1000012,1000000,LargeBus
27,SmallTruck19,36,17,1000025,1000013,SmallTruck
28,MediumTruck26,28,10,1000013,1000025,MediumTruck
29,MiniBus18,40,18,1000013,1000000,MiniBus
30,SmallTruck27,30,11,1000025,1000013,SmallTruck
31,LargeBus31,25,10,1000025,1000013,LargeBus
32,MediumTruck37,18,0,1000012,1000025,MediumTruck
33,SmallTruck36,19,0,1000000,1000012,SmallTruck
34,LargeBus30,33,18,1000013,1000025,LargeBus
35,SmallTruck40,19,0,1000000,1000012,SmallTruck
36,SmallTruck41,19,0,1000012,1000000,SmallTruck
37,MediumTruck35,31,13,1000025,1000013,MediumTruck
38,MiniBus34,33,12,1000013,1000025,MiniBus
39,HeavyTruck44,18,0,1000000,1000012,HeavyTruck
40,SmallTruck45,19,0,1000012,1000000,SmallTruck
41,SmallTruck49,19,0,1000012,1000000,SmallTruck
42,MiniBus32,40,18,1000000,1000013,MiniBus
43,SmallTruck38,35,15,1000013,1000025,SmallTruck
44,HeavyTruck39,36,18,1000025,1000013,HeavyTruck
45,MiniBus48,21,0,1000000,1000012,MiniBus
46,SmallTruck42,32,12,1000013,1000000,SmallTruck
47,HeavyTruck43,34,16,1000025,1000013,HeavyTruck
48,SmallTruck53,19,0,1000012,1000025,SmallTruck
49,LargeBus47,31,16,1000025,1000013,LargeBus
50,MiniBus52,21,0,1000000,1000025,MiniBus
51,MediumTruck56,18,0,1000000,1000012,MediumTruck
52,HeavyTruck57,18,0,1000012,1000000,HeavyTruck
53,MiniBus46,34,13,1000013,1000012,MiniBus
54,MediumTruck50,33,15,1000013,1000025,MediumTruck
55,MiniBus51,35,13,1000025,1000013,MiniBus
56,HeavyTruck54,30,12,1000013,1000025,HeavyTruck
57,SmallTruck55,33,14,1000025,1000013,SmallTruck
58,HeavyTruck65,18,0,1000012,1000025,HeavyTruck
59,LargeBus61,25,10,1000012,1000013,LargeBus
60,LargeBus68,15,0,1000000,1000025,LargeBus
61,MiniBus64,21,0,1000000,1000012,MiniBus
62,MiniBus67,21,0,1000025,1000000,MiniBus
63,LargeBus62,27,12,1000013,1000025,LargeBus
64,HeavyTruck71,17,0,1000025,1000012,HeavyTruck
65,SmallTruck69,19,0,1000012,1000000,SmallTruck
66,MiniBus58,39,17,1000013,1000000,MiniBus
67,MiniBus59,41,19,1000025,1000013,MiniBus
68,HeavyTruck63,36,18,1000025,1000013,HeavyTruck
69,MiniBus72,21,0,1000000,1000012,MiniBus
70,MiniBus73,21,0,1000012,1000000,MiniBus
71,MiniBus60,38,16,1000000,1000013,MiniBus
72,MediumTruck70,28,10,1000013,1000025,MediumTruck
73,SmallTruck76,19,0,1000000,1000012,SmallTruck
74,MediumTruck66,35,17,1000013,1000025,MediumTruck
75,MediumTruck80,18,0,1000000,1000012,MediumTruck
76,HeavyTruck81,18,0,1000012,1000000,HeavyTruck
77,HeavyTruck74,29,11,1000013,1000000,HeavyTruck
78,LargeBus77,25,10,1000012,1000013,LargeBus
79,LargeBus85,15,0,1000012,1000000,LargeBus
80,HeavyTruck79,28,10,1000025,1000013,HeavyTruck
81,SmallTruck84,19,0,1000000,1000012,SmallTruck
82,MediumTruck78,34,16,1000013,1000025,MediumTruck
83,SmallTruck88,19,0,1000000,1000012,SmallTruck
84,MiniBus75,40,18,1000025,1000013,MiniBus
85,LargeBus83,30,15,1000025,1000013,LargeBus
86,MiniBus91,21,0,1000025,1000000,MiniBus
87,SmallTruck82,33,13,1000013,1000025,SmallTruck
88,MediumTruck92,18,0,1000000,1000025,MediumTruck
89,MediumTruck93,18,0,1000012,1000000,MediumTruck
90,HeavyTruck95,18,0,1000025,1000000,HeavyTruck
91,HeavyTruck86,30,12,1000013,1000025,HeavyTruck
92,LargeBus96,15,0,1000000,1000025,LargeBus
93,LargeBus90,27,12,1000013,1000025,LargeBus
94,MediumTruck97,18,0,1000012,1000000,MediumTruck
95,MediumTruck99,18,0,1000025,1000000,MediumTruck
96,LargeBus101,15,0,1000012,1000025,LargeBus
97,MediumTruck89,33,15,1000012,1000013,MediumTruck
98,LargeBus104,15,0,1000000,1000025,LargeBus
99,MiniBus87,41,19,1000025,1000013,MiniBus
100,MiniBus100,21,0,1000000,1000025,MiniBus
101,MiniBus94,33,11,1000013,1000000,MiniBus
102,MediumTruck105,18,0,1000012,1000025,MediumTruck
103,SmallTruck107,19,0,1000025,1000000,SmallTruck
104,MediumTruck98,33,15,1000013,1000012,MediumTruck
105,MediumTruck108,18,0,1000000,1000012,MediumTruck
106,HeavyTruck109,18,0,1000012,1000025,HeavyTruck
107,LargeBus102,30,15,1000013,1000025,LargeBus
