,Truck id,Bridge id,Waiting time,Type
0,SmallTruck1,1000010,0,SmallTruck
1,MiniBus3,1000023,0,MiniBus
2,LargeBus2,1000015,0,LargeBus
3,MiniBus0,1000002,0,MiniBus
4,LargeBus2,1000017,14,LargeBus
5,MiniBus0,1000004,0,MiniBus
6,SmallTruck1,1000008,0,SmallTruck
7,LargeBus5,1000010,0,LargeBus
8,HeavyTruck7,1000023,0,HeavyTruck
9,MiniBus3,1000021,0,MiniBus
10,MediumTruck4,1000002,0,MediumTruck
11,HeavyTruck6,1000015,0,HeavyTruck
12,MediumTruck4,1000004,0,MediumTruck
13,LargeBus5,1000008,0,LargeBus
14,HeavyTruck6,1000017,18,HeavyTruck
15,HeavyTruck7,1000021,0,HeavyTruck
16,HeavyTruck9,1000010,0,HeavyTruck
17,HeavyTruck11,1000023,0,HeavyTruck
18,SmallTruck1,1000004,0,SmallTruck
19,HeavyTruck8,1000002,0,HeavyTruck
20,SmallTruck10,1000015,0,SmallTruck
21,MiniBus0,1000017,17,MiniBus
22,MiniBus3,1000017,16,MiniBus
23,LargeBus5,1000004,0,LargeBus
24,SmallTruck1,1000002,0,SmallTruck
25,HeavyTruck8,1000004,0,HeavyTruck
26,MediumTruck4,1000021,0,MediumTruck
27,LargeBus5,1000002,0,LargeBus
28,HeavyTruck7,1000017,19,HeavyTruck
29,HeavyTruck9,1000008,0,HeavyTruck
30,SmallTruck10,1000017,15,SmallTruck
31,HeavyTruck11,1000021,0,HeavyTruck
32,LargeBus13,1000010,0,LargeBus
33,LargeBus15,1000023,0,LargeBus
34,LargeBus12,1000002,0,LargeBus
35,MiniBus14,1000015,0,MiniBus
36,LargeBus12,1000004,0,LargeBus
37,MediumTruck4,1000023,0,MediumTruck
38,LargeBus13,1000008,0,LargeBus
39,LargeBus15,1000021,0,LargeBus
40,HeavyTruck8,1000008,0,HeavyTruck
41,HeavyTruck9,1000004,0,HeavyTruck
42,HeavyTruck11,1000017,13,HeavyTruck
43,MiniBus14,1000017,18,MiniBus
44,MiniBus17,1000010,0,MiniBus
45,SmallTruck19,1000023,0,SmallTruck
46,LargeBus16,1000002,0,LargeBus
47,LargeBus2,1000021,0,LargeBus
48,MiniBus18,1000015,0,MiniBus
49,HeavyTruck9,1000002,0,HeavyTruck
50,LargeBus12,1000008,0,LargeBus
51,LargeBus13,1000004,0,LargeBus
52,LargeBus15,1000004,0,LargeBus
53,LargeBus16,1000004,0,LargeBus
54,HeavyTruck8,1000010,0,HeavyTruck
55,LargeBus2,1000023,0,LargeBus
56,LargeBus13,1000002,0,LargeBus
57,LargeBus15,1000002,0,LargeBus
58,MiniBus18,1000017,18,MiniBus
