,Truck id,Bridge id,Waiting time,Type
0,SmallTruck15366,N104_LRPSa,0,SmallTruck
1,MediumTruck15368,N1_LRP011a,0,MediumTruck
2,MediumTruck15365,N102_LRP082a,0,MediumTruck
3,MediumTruck15368,N1_LRP010c,0,MediumTruck
4,MediumTruck15368,N1_LRP010b,0,MediumTruck
5,MediumTruck15372,N2_LRP146a,0,MediumTruck
6,MiniBus15360,N1_LRP001a,0,MiniBus
7,MediumTruck15361,N1_LRP456c,0,MediumTruck
8,LargeBus15363,N2_LRP285c,0,LargeBus
9,LargeBus15363,N2_LRP285a,0,LargeBus
10,MediumTruck15373,N207_LRP066b,0,MediumTruck
11,MiniBus15375,N208_LRP055a,0,MiniBus
12,MediumTruck15361,N1_LRP456a,0,MediumTruck
13,LargeBus15363,N2_LRP284c,0,LargeBus
14,LargeBus15363,N2_LRP284b,0,LargeBus
15,MediumTruck15370,N204_LRP003b,0,MediumTruck
16,MediumTruck15361,N1_LRP455a,0,MediumTruck
17,LargeBus15363,N2_LRP283b,0,LargeBus
18,MiniBus15360,N1_LRP004b,0,MiniBus
19,MiniBus15374,N208_LRP004c,0,MiniBus
20,MiniBus15382,N104_LRPSa,0,MiniBus
21,MediumTruck15384,N1_LRP012a,0,MediumTruck
22,MediumTruck15384,N1_LRP012b,0,MediumTruck
23,LargeBus15364,N1_LRP077a,0,LargeBus
24,SmallTruck15367,N104_LRP044d,0,SmallTruck
25,MediumTruck15372,N2_LRP141b,0,MediumTruck
26,MediumTruck15372,N2_LRP141a,0,MediumTruck
27,HeavyTruck15381,N102_LRP082a,0,HeavyTruck
28,SmallTruck15386,N2_LRP118a,0,SmallTruck
29,SmallTruck15386,N2_LRP118b,0,SmallTruck
30,SmallTruck15386,N2_LRP118e,0,SmallTruck
31,MediumTruck15361,N1_LRP452e,0,MediumTruck
32,MediumTruck15361,N1_LRP452d,0,MediumTruck
33,MediumTruck15372,N2_LRP140c,0,MediumTruck
34,MediumTruck15376,N1_LRP001a,0,MediumTruck
35,MediumTruck15377,N1_LRP456c,0,MediumTruck
36,MediumTruck15378,N1_LRP010b,0,MediumTruck
37,MediumTruck15378,N1_LRP010c,0,MediumTruck
38,LargeBus15379,N2_LRP285c,0,LargeBus
39,LargeBus15379,N2_LRP285a,0,LargeBus
40,MediumTruck15384,N1_LRP014a,0,MediumTruck
41,SmallTruck15386,N2_LRP118g,0,SmallTruck
42,MediumTruck15361,N1_LRP452c,0,MediumTruck
43,MediumTruck15361,N1_LRP452a,0,MediumTruck
44,MediumTruck15361,N1_LRP451e,0,MediumTruck
45,MediumTruck15369,N105_LRP042b,0,MediumTruck
46,MediumTruck15372,N2_LRP140a,0,MediumTruck
47,MediumTruck15372,N2_LRP139b,0,MediumTruck
48,MediumTruck15373,N207_LRP061d,0,MediumTruck
49,MediumTruck15377,N1_LRP456a,0,MediumTruck
50,MediumTruck15378,N1_LRP011a,0,MediumTruck
51,LargeBus15379,N2_LRP284c,0,LargeBus
52,LargeBus15379,N2_LRP284b,0,LargeBus
53,SmallTruck15386,N2_LRP119c,0,SmallTruck
54,SmallTruck15386,N2_LRP120a,0,SmallTruck
55,LargeBus15389,N2_LRP188a,0,LargeBus
56,MediumTruck15391,N208_LRP055a,0,MediumTruck
57,MediumTruck15361,N1_LRP451b,0,MediumTruck
58,MediumTruck15361,N1_LRP450e,0,MediumTruck
59,MediumTruck15372,N2_LRP139a,0,MediumTruck
60,MediumTruck15377,N1_LRP455a,0,MediumTruck
61,MediumTruck15378,N1_LRP012a,0,MediumTruck
62,MediumTruck15378,N1_LRP012b,0,MediumTruck
63,LargeBus15379,N2_LRP283b,0,LargeBus
64,SmallTruck15386,N2_LRP121a,0,SmallTruck
65,LargeBus15389,N2_LRP187b,0,LargeBus
66,MediumTruck15361,N1_LRP450c,0,MediumTruck
67,MediumTruck15361,N1_LRP450a,0,MediumTruck
68,MediumTruck15369,N105_LRP041c,0,MediumTruck
69,MediumTruck15372,N2_LRP138b,0,MediumTruck
70,MediumTruck15372,N2_LRP138a,0,MediumTruck
71,SmallTruck15386,N2_LRP121c,0,SmallTruck
72,LargeBus15389,N2_LRP186d,0,LargeBus
73,MediumTruck15390,N208_LRP004c,0,MediumTruck
74,MiniBus15396,N1_LRP083a,0,MiniBus
75,SmallTruck15398,N104_LRPSa,0,SmallTruck
76,MiniBus15407,N2_LRP228b,0,MiniBus
77,MediumTruck15361,N1_LRP449d,0,MediumTruck
