,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,SmallTruck56082,5,0,N2_LRPS,N105_LRPS,SmallTruck
1,MiniBus56098,4,0,N2_LRPS,N105_LRPS,MiniBus
2,MediumTruck56104,15,0,N105_LRPS,N1_LRPS,MediumTruck
3,MediumTruck56162,5,0,N2_LRPS,N105_LRPS,MediumTruck
4,SmallTruck56184,5,0,N105_LRPS,N2_LRPS,SmallTruck
5,SmallTruck56074,43,0,N204_LRPS,N204_LRPE,SmallTruck
6,SmallTruck56075,43,0,N204_LRPE,N204_LRPS,SmallTruck
7,MiniBus56077,43,0.017040909505494337,N207_LRPE,N208_LRPE,MiniBus
8,SmallTruck56178,11,0,N2_LRPS,N1_LRPS,SmallTruck
9,MiniBus56071,56,0,N104_LRPE,N104_LRPS,MiniBus
10,MediumTruck56122,43,0,N204_LRPS,N204_LRPE,MediumTruck
11,MediumTruck56072,60,0,N105_LRPS,N105_LRP048,MediumTruck
12,MediumTruck56248,5,0,N105_LRPS,N2_LRPS,MediumTruck
13,SmallTruck56138,43,0,N204_LRPS,N204_LRPE,SmallTruck
14,MediumTruck56088,60,0,N105_LRPS,N105_LRP048,MediumTruck
15,HeavyTruck56089,60,0,N105_LRP048,N105_LRPS,HeavyTruck
16,MediumTruck56086,61,0,N104_LRPS,N104_LRPE,MediumTruck
17,MediumTruck56105,59,0,N105_LRP048,N2_LRPS,MediumTruck
18,LargeBus56095,65,0,N208_LRPE,N208_LRPS,LargeBus
19,MediumTruck56274,5,0,N2_LRPS,N105_LRPS,MediumTruck
20,MediumTruck56078,71,0,N208_LRPS,N208_LRPE,MediumTruck
21,SmallTruck56102,61,0,N104_LRPS,N104_LRPE,SmallTruck
22,HeavyTruck56172,41,1.8965982793929475,N207_LRPS,N204_LRPS,HeavyTruck
23,MiniBus56096,63,0,N1_LRPS,N105_LRP048,MiniBus
24,MediumTruck56120,60,0,N105_LRPS,N105_LRP048,MediumTruck
25,MiniBus56076,76,0,N207_LRPS,N207_LRPE,MiniBus
26,MediumTruck56119,61,0,N104_LRPE,N104_LRPS,MediumTruck
27,LargeBus56099,69,1.0298862583649029,N2_LRPE,N208_LRPE,LargeBus
28,SmallTruck56204,40,0.8462738949650626,N207_LRPS,N204_LRPS,SmallTruck
29,HeavyTruck56280,15,0,N105_LRPS,N1_LRPS,HeavyTruck
30,LargeBus56093,76,0,N207_LRPE,N207_LRPS,LargeBus
31,SmallTruck56110,71,0,N208_LRPS,N208_LRPE,SmallTruck
32,SmallTruck56191,47,0.26696532437736586,N208_LRPE,N207_LRPE,SmallTruck
33,SmallTruck56202,43,0,N204_LRPS,N204_LRPE,SmallTruck
34,MediumTruck56203,43,0,N204_LRPE,N204_LRPS,MediumTruck
35,MiniBus56142,65,0,N208_LRPS,N208_LRPE,MiniBus
36,MediumTruck56150,61,0,N104_LRPS,N104_LRPE,MediumTruck
37,LargeBus56167,56,0,N104_LRPE,N104_LRPS,LargeBus
