,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,SmallTruck11522,5,0,N2_LRPS,N105_LRPS,SmallTruck
1,MediumTruck11544,5,0,N105_LRPS,N2_LRPS,MediumTruck
2,MiniBus11536,10,0,N1_LRPS,N2_LRPS,MiniBus
3,SmallTruck11586,5,0,N2_LRPS,N105_LRPS,SmallTruck
4,SmallTruck11564,37,0,N207_LRPS,N204_LRPS,SmallTruck
5,LargeBus11562,39,0,N204_LRPS,N204_LRPE,LargeBus
6,LargeBus11563,39,0,N204_LRPE,N204_LRPS,LargeBus
7,LargeBus11579,39,0,N204_LRPE,N204_LRPS,LargeBus
8,MiniBus11594,34,0,N204_LRPS,N207_LRPS,MiniBus
9,HeavyTruck11578,43,0,N204_LRPS,N204_LRPE,HeavyTruck
10,MiniBus11545,55,0,N105_LRP048,N105_LRPS,MiniBus
11,MediumTruck11526,61,0,N104_LRPS,N104_LRPE,MediumTruck
12,LargeBus11543,56,0,N104_LRPE,N104_LRPS,LargeBus
13,LargeBus11610,39,0,N204_LRPS,N204_LRPE,LargeBus
14,SmallTruck11542,61,0,N104_LRPS,N104_LRPE,SmallTruck
15,LargeBus11558,56,0,N104_LRPS,N104_LRPE,LargeBus
16,MiniBus11559,56,0,N104_LRPE,N104_LRPS,MiniBus
17,HeavyTruck11560,60,0,N105_LRPS,N105_LRP048,HeavyTruck
18,MiniBus11574,56,0,N104_LRPS,N104_LRPE,MiniBus
19,LargeBus11575,56,0,N104_LRPE,N104_LRPS,LargeBus
20,MediumTruck11615,46,0,N208_LRPE,N207_LRPE,MediumTruck
21,SmallTruck11627,43,0,N204_LRPE,N204_LRPS,SmallTruck
22,MiniBus11590,56,0,N104_LRPS,N104_LRPE,MiniBus
23,HeavyTruck11643,43,0,N204_LRPE,N204_LRPS,HeavyTruck
24,SmallTruck11531,79,0,N204_LRPE,N207_LRPS,SmallTruck
25,HeavyTruck11593,59,0,N105_LRP048,N2_LRPS,HeavyTruck
26,LargeBus11609,54,0,N105_LRP048,N2_LRPS,LargeBus
27,LargeBus11658,39,0,N204_LRPS,N204_LRPE,LargeBus
28,SmallTruck11592,60,0,N105_LRPS,N105_LRP048,SmallTruck
29,MiniBus11608,55,0,N105_LRPS,N105_LRP048,MiniBus
30,MiniBus11548,76,0,N207_LRPS,N207_LRPE,MiniBus
31,LargeBus11549,76,0,N207_LRPE,N207_LRPS,LargeBus
32,SmallTruck11659,43,0,N204_LRPE,N204_LRPS,SmallTruck
33,LargeBus11675,39,0,N204_LRPE,N204_LRPS,LargeBus
34,LargeBus11624,55,0,N105_LRPS,N105_LRP048,LargeBus
35,MediumTruck11540,81,0,N102_LRPS,N104_LRPS,MediumTruck
36,HeavyTruck11583,71,0,N208_LRPE,N208_LRPS,HeavyTruck
37,HeavyTruck11622,61,0,N104_LRPS,N104_LRPE,HeavyTruck
38,LargeBus11638,56,0,N104_LRPS,N104_LRPE,LargeBus
39,MiniBus11595,72,0,N204_LRPE,N207_LRPS,MiniBus
40,MediumTruck11565,84,0,N207_LRPE,N207_LRPS,MediumTruck
41,MiniBus11706,39,0,N204_LRPS,N204_LRPE,MiniBus
42,MiniBus11724,34,0,N207_LRPS,N204_LRPS,MiniBus
43,MediumTruck11641,60,0,N105_LRP048,N105_LRPS,MediumTruck
44,LargeBus11657,55,0,N105_LRP048,N105_LRPS,LargeBus
45,SmallTruck11614,71,0,N208_LRPS,N208_LRPE,SmallTruck
46,SmallTruck11580,84,0,N207_LRPS,N207_LRPE,SmallTruck
47,MiniBus11673,54,0,N105_LRP048,N2_LRPS,MiniBus
48,MiniBus11722,39,0,N204_LRPS,N204_LRPE,MiniBus
49,MiniBus11723,39,0,N204_LRPE,N204_LRPS,MiniBus
50,MiniBus11613,76,0,N207_LRPE,N207_LRPS,MiniBus
51,HeavyTruck11631,71,0,N208_LRPE,N208_LRPS,HeavyTruck
52,MediumTruck11525,102,0,N102_LRPE,N102_LRPS,MediumTruck
53,SmallTruck11596,84,0,N207_LRPS,N207_LRPE,SmallTruck
54,LargeBus11848,4,0,N105_LRPS,N2_LRPS,LargeBus
55,MiniBus11662,65,0,N208_LRPS,N208_LRPE,MiniBus
56,LargeBus11663,65,0,N208_LRPE,N208_LRPS,LargeBus
57,MediumTruck11670,61,0,N104_LRPS,N104_LRPE,MediumTruck
58,HeavyTruck11671,61,0,N104_LRPE,N104_LRPS,HeavyTruck
59,MediumTruck11738,43,0,N204_LRPS,N204_LRPE,MediumTruck
60,MiniBus11754,39,0,N204_LRPS,N204_LRPE,MiniBus
61,MiniBus11824,14,0,N1_LRPS,N105_LRPS,MiniBus
