,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,SmallTruck68354,5,0,N2_LRPS,N105_LRPS,SmallTruck
1,MediumTruck68352,11,0,N1_LRPS,N2_LRPS,MediumTruck
2,MediumTruck68386,5,0,N2_LRPS,N105_LRPS,MediumTruck
3,SmallTruck68408,5,0,N105_LRPS,N2_LRPS,SmallTruck
4,SmallTruck68384,11,0,N1_LRPS,N2_LRPS,SmallTruck
5,SmallTruck68402,11,0,N2_LRPS,N1_LRPS,SmallTruck
6,MediumTruck68440,5,0,N105_LRPS,N2_LRPS,MediumTruck
7,MediumTruck68364,38,0.08102165793720476,N207_LRPS,N204_LRPS,MediumTruck
8,HeavyTruck68448,11,0,N1_LRPS,N2_LRPS,HeavyTruck
9,MediumTruck68504,5,0,N105_LRPS,N2_LRPS,MediumTruck
10,SmallTruck68394,43,0,N204_LRPS,N204_LRPE,SmallTruck
11,MediumTruck68498,11,0,N2_LRPS,N1_LRPS,MediumTruck
12,MediumTruck68399,47,0.12037443277487805,N208_LRPE,N207_LRPE,MediumTruck
13,SmallTruck68411,43,0,N204_LRPE,N204_LRPS,SmallTruck
14,MediumTruck68530,5,0,N2_LRPS,N105_LRPS,MediumTruck
15,MediumTruck68358,62,0.47192007673637487,N104_LRPS,N104_LRPE,MediumTruck
16,MediumTruck68415,47,0.08965923453220591,N208_LRPE,N207_LRPE,MediumTruck
17,SmallTruck68426,43,0,N204_LRPS,N204_LRPE,SmallTruck
18,MediumTruck68427,43,0,N204_LRPE,N204_LRPS,MediumTruck
19,LargeBus68442,39,0,N204_LRPS,N204_LRPE,LargeBus
20,LargeBus68512,14,0,N1_LRPS,N105_LRPS,LargeBus
21,LargeBus68546,4,0,N2_LRPS,N105_LRPS,LargeBus
22,MiniBus68366,65,0,N208_LRPS,N208_LRPE,MiniBus
23,SmallTruck68520,15,0,N105_LRPS,N1_LRPS,SmallTruck
24,SmallTruck68374,62,0.07174534214451252,N104_LRPS,N104_LRPE,SmallTruck
25,MediumTruck68376,62,0.8849703480014324,N105_LRPS,N105_LRP048,MediumTruck
26,MediumTruck68377,62,0.17565663939695697,N105_LRP048,N105_LRPS,MediumTruck
27,LargeBus68391,57,0.04562081464382323,N104_LRPE,N104_LRPS,LargeBus
28,SmallTruck68443,43,0,N204_LRPE,N204_LRPS,SmallTruck
29,LargeBus68544,10,0,N1_LRPS,N2_LRPS,LargeBus
30,MediumTruck68393,62,0.8490761545063508,N105_LRP048,N105_LRPS,MediumTruck
31,MediumTruck68392,63,1.7886662261245259,N105_LRPS,N105_LRP048,MediumTruck
32,MediumTruck68458,43,0,N204_LRPS,N204_LRPE,MediumTruck
33,LargeBus68365,76,0,N207_LRPE,N207_LRPS,LargeBus
34,MediumTruck68382,71,0,N208_LRPS,N208_LRPE,MediumTruck
35,MediumTruck68383,71,0,N208_LRPE,N208_LRPS,MediumTruck
36,MediumTruck68409,62,0.48455574838760246,N105_LRP048,N105_LRPS,MediumTruck
37,SmallTruck68475,43,0,N204_LRPE,N204_LRPS,SmallTruck
38,MiniBus68491,39,0,N204_LRPE,N204_LRPS,MiniBus
39,LargeBus68600,4,0,N105_LRPS,N2_LRPS,LargeBus
40,SmallTruck68398,71,0,N208_LRPS,N208_LRPE,SmallTruck
41,LargeBus68372,77,1.360239049759948,N102_LRPS,N104_LRPS,LargeBus
42,MediumTruck68425,62,0.7297379689437846,N105_LRP048,N105_LRPS,MediumTruck
43,LargeBus68387,74,5.542733494248376,N2_LRPE,N208_LRPE,LargeBus
44,LargeBus68506,39,0,N204_LRPS,N204_LRPE,LargeBus
45,LargeBus68507,39,0,N204_LRPE,N204_LRPS,LargeBus
46,MediumTruck68616,5,0,N105_LRPS,N2_LRPS,MediumTruck
47,MediumTruck68414,71,0,N208_LRPS,N208_LRPE,MediumTruck
48,SmallTruck68381,84,0,N207_LRPE,N207_LRPS,SmallTruck
49,MediumTruck68439,64,1.2753062615249025,N104_LRPE,N104_LRPS,MediumTruck
50,MiniBus68447,65,0,N208_LRPE,N208_LRPS,MiniBus
51,MediumTruck68416,71,0.749955496743131,N1_LRPS,N105_LRP048,MediumTruck
52,MediumTruck68454,62,0.08199031592455455,N104_LRPS,N104_LRPE,MediumTruck
53,MediumTruck68457,62,0.37013075248657573,N105_LRP048,N105_LRPS,MediumTruck
54,LargeBus68470,57,0.020359019786609613,N104_LRPS,N104_LRPE,LargeBus
55,MediumTruck68455,63,0.7428611957542847,N104_LRPE,N104_LRPS,MediumTruck
56,MediumTruck68397,84,0,N207_LRPE,N207_LRPS,MediumTruck
57,MediumTruck68456,64,2.5209589176197413,N105_LRPS,N105_LRP048,MediumTruck
58,MiniBus68538,39,0,N204_LRPS,N204_LRPE,MiniBus
59,MediumTruck68624,11,0,N1_LRPS,N2_LRPS,MediumTruck
60,MiniBus68541,42,0.14120483842318965,N207_LRPE,N208_LRPE,MiniBus
61,MediumTruck68388,88,0.015833937809775985,N102_LRPS,N105_LRPS,MediumTruck
62,SmallTruck68404,84,1.0253456556551659,N102_LRPS,N104_LRPS,SmallTruck
63,MediumTruck68413,84,0,N207_LRPE,N207_LRPS,MediumTruck
64,MediumTruck68471,64,1.4729432252099186,N104_LRPE,N104_LRPS,MediumTruck
65,MediumTruck68428,80,0.18284652544068913,N207_LRPS,N204_LRPE,MediumTruck
66,MediumTruck68664,5,0,N105_LRPS,N2_LRPS,MediumTruck
67,MediumTruck68462,71,0,N208_LRPS,N208_LRPE,MediumTruck
68,MediumTruck68486,62,0.0022304668275695467,N104_LRPS,N104_LRPE,MediumTruck
69,SmallTruck68488,62,0.8579778234734711,N105_LRPS,N105_LRP048,SmallTruck
70,MediumTruck68570,38,0.3177656164435329,N204_LRPS,N207_LRPS,MediumTruck
71,HeavyTruck68444,80,0.05458601601180453,N207_LRPS,N204_LRPE,HeavyTruck
72,LargeBus68588,35,0.09759298816731421,N207_LRPS,N204_LRPS,LargeBus
73,MediumTruck68674,5,0,N2_LRPS,N105_LRPS,MediumTruck
74,MediumTruck68356,106,1.8731714261022692,N102_LRPS,N102_LRPE,MediumTruck
75,MiniBus68452,76,0.9283382861685174,N102_LRPS,N104_LRPS,MiniBus
