,Truck id,Bridge id,Waiting time,Type
0,MediumTruck48390,N104_LRPSa,0,MediumTruck
1,SmallTruck48394,N2_LRP117b,0,SmallTruck
2,SmallTruck48394,N2_LRP117a,0,SmallTruck
3,MediumTruck48399,N2_LRP228b,0,MediumTruck
4,MediumTruck48388,N102_LRPSc,0,MediumTruck
5,MediumTruck48389,N102_LRP082a,0,MediumTruck
6,HeavyTruck48384,N1_LRP001a,0,HeavyTruck
7,MediumTruck48385,N1_LRP456c,0,MediumTruck
8,LargeBus48387,N2_LRP285c,0,LargeBus
9,LargeBus48387,N2_LRP285a,0,LargeBus
10,MediumTruck48388,N102_LRP002a,0,MediumTruck
11,MediumTruck48397,N207_LRP066b,0,MediumTruck
12,MediumTruck48399,N2_LRP226d,0.02669698165153828,MediumTruck
13,MediumTruck48385,N1_LRP456a,0,MediumTruck
14,LargeBus48387,N2_LRP284c,0,LargeBus
15,LargeBus48387,N2_LRP284b,0,LargeBus
16,MediumTruck48388,N102_LRP002b,0,MediumTruck
17,MediumTruck48388,N102_LRP002c,0,MediumTruck
18,MediumTruck48399,N2_LRP226c,0,MediumTruck
19,MediumTruck48385,N1_LRP455a,2.8820688947745,MediumTruck
20,LargeBus48387,N2_LRP283b,0,LargeBus
21,SmallTruck48392,N105_LRP003a,0,SmallTruck
22,MediumTruck48399,N2_LRP225c,0,MediumTruck
23,MediumTruck48398,N208_LRP004c,0,MediumTruck
24,SmallTruck48404,N1_LRP083a,0,SmallTruck
25,LargeBus48406,N104_LRPSa,0,LargeBus
26,HeavyTruck48384,N1_LRP004b,0,HeavyTruck
27,SmallTruck48391,N104_LRP044d,0,SmallTruck
28,MediumTruck48399,N2_LRP224b,0,MediumTruck
29,SmallTruck48404,N1_LRP083b,0,SmallTruck
30,HeavyTruck48405,N102_LRP082a,0,HeavyTruck
31,SmallTruck48392,N105_LRP005c,0,SmallTruck
32,SmallTruck48392,N105_LRP006a,0,SmallTruck
33,MediumTruck48400,N1_LRP001a,0,MediumTruck
34,MediumTruck48401,N1_LRP456c,0,MediumTruck
35,MediumTruck48402,N1_LRP010b,0,MediumTruck
36,MediumTruck48402,N1_LRP010c,0,MediumTruck
37,MiniBus48403,N2_LRP285c,0,MiniBus
38,MiniBus48403,N2_LRP285a,0,MiniBus
39,LargeBus48413,N207_LRP066b,0,LargeBus
40,MediumTruck48393,N105_LRP042b,0,MediumTruck
41,MediumTruck48397,N207_LRP061d,0,MediumTruck
42,MediumTruck48401,N1_LRP456a,0,MediumTruck
43,MediumTruck48402,N1_LRP011a,0,MediumTruck
44,MiniBus48403,N2_LRP284c,0,MiniBus
45,MiniBus48403,N2_LRP284b,0,MiniBus
46,SmallTruck48410,N204_LRP003b,0,SmallTruck
47,MediumTruck48415,N208_LRP055a,0,MediumTruck
48,MediumTruck48401,N1_LRP455a,0.12189884269477327,MediumTruck
49,MiniBus48403,N2_LRP283b,0,MiniBus
50,MediumTruck48408,N105_LRP003a,0,MediumTruck
51,MediumTruck48385,N1_LRP452e,0,MediumTruck
52,MediumTruck48385,N1_LRP452d,0,MediumTruck
53,MediumTruck48385,N1_LRP452c,0,MediumTruck
54,MediumTruck48385,N1_LRP452a,0,MediumTruck
55,MediumTruck48393,N105_LRP041c,0,MediumTruck
56,SmallTruck48394,N2_LRP108a,0,SmallTruck
57,MediumTruck48396,N207_LRP008c,0,MediumTruck
58,MediumTruck48399,N2_LRP221b,0,MediumTruck
59,MediumTruck48414,N208_LRP004c,0,MediumTruck
60,HeavyTruck48422,N104_LRPSa,0,HeavyTruck
61,MediumTruck48426,N2_LRP117b,0,MediumTruck
62,MediumTruck48426,N2_LRP117a,0,MediumTruck
63,MiniBus48431,N2_LRP228b,0,MiniBus
64,MediumTruck48385,N1_LRP451e,0,MediumTruck
65,MediumTruck48388,N102_LRP009a,0,MediumTruck
66,MediumTruck48393,N105_LRP040c,0,MediumTruck
67,MediumTruck48400,N1_LRP004b,0,MediumTruck
68,MediumTruck48407,N104_LRP044d,0,MediumTruck
69,LargeBus48420,N102_LRPSc,0,LargeBus
70,MediumTruck48421,N102_LRP082a,0,MediumTruck
71,SmallTruck48428,N2_LRP146a,0,SmallTruck
72,MediumTruck48385,N1_LRP451b,0,MediumTruck
73,MediumTruck48385,N1_LRP450e,0,MediumTruck
74,MediumTruck48385,N1_LRP450c,0,MediumTruck
75,MediumTruck48390,N104_LRP010a,0,MediumTruck
76,MediumTruck48393,N105_LRP039b,0,MediumTruck
77,SmallTruck48394,N2_LRP106b,0,SmallTruck
78,SmallTruck48394,N2_LRP106a,0,SmallTruck
79,MediumTruck48399,N2_LRP219a,0,MediumTruck
80,SmallTruck48404,N1_LRP088a,0,SmallTruck
81,MediumTruck48408,N105_LRP005c,0,MediumTruck
82,MediumTruck48408,N105_LRP006a,0,MediumTruck
83,LargeBus48413,N207_LRP061d,0,LargeBus
84,MediumTruck48416,N1_LRP001a,0,MediumTruck
85,MediumTruck48417,N1_LRP456c,0,MediumTruck
86,SmallTruck48418,N1_LRP010b,0,SmallTruck
87,SmallTruck48418,N1_LRP010c,0,SmallTruck
88,LargeBus48419,N2_LRP285c,0,LargeBus
89,LargeBus48419,N2_LRP285a,0,LargeBus
90,LargeBus48420,N102_LRP002a,0,LargeBus
91,LargeBus48420,N102_LRP002b,0,LargeBus
92,LargeBus48420,N102_LRP002c,0,LargeBus
93,MiniBus48431,N2_LRP226d,0.07015329521105312,MiniBus
94,HeavyTruck48384,N1_LRP010b,0,HeavyTruck
95,HeavyTruck48384,N1_LRP010c,0,HeavyTruck
96,HeavyTruck48384,N1_LRP011a,0,HeavyTruck
97,MediumTruck48385,N1_LRP450a,0,MediumTruck
98,LargeBus48387,N2_LRP276a,0,LargeBus
99,MediumTruck48401,N1_LRP452e,0,MediumTruck
100,MediumTruck48401,N1_LRP452d,0,MediumTruck
101,MediumTruck48401,N1_LRP452c,0,MediumTruck
102,MediumTruck48401,N1_LRP452a,0,MediumTruck
103,MediumTruck48409,N105_LRP042b,0,MediumTruck
104,MediumTruck48417,N1_LRP456a,0,MediumTruck
105,SmallTruck48418,N1_LRP011a,0,SmallTruck
106,LargeBus48419,N2_LRP284c,0,LargeBus
107,LargeBus48419,N2_LRP284b,0,LargeBus
