,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,MediumTruck9298,5,0,N2_LRPS,N105_LRPS,MediumTruck
1,SmallTruck9288,15,0,N105_LRPS,N1_LRPS,SmallTruck
2,SmallTruck9242,37,0,N204_LRPS,N207_LRPS,SmallTruck
3,SmallTruck9227,43,0,N204_LRPE,N204_LRPS,SmallTruck
4,SmallTruck9259,43,0,N204_LRPE,N204_LRPS,SmallTruck
5,LargeBus9222,56,0,N104_LRPS,N104_LRPE,LargeBus
6,MediumTruck9261,46,0,N207_LRPE,N208_LRPE,MediumTruck
7,SmallTruck9274,43,0,N204_LRPS,N204_LRPE,SmallTruck
8,MiniBus9234,54,0,N2_LRPS,N105_LRP048,MiniBus
9,MiniBus9378,10,0,N2_LRPS,N1_LRPS,MiniBus
10,MediumTruck9223,61,0,N104_LRPE,N104_LRPS,MediumTruck
11,MediumTruck9277,46,0,N207_LRPE,N208_LRPE,MediumTruck
12,SmallTruck9240,60,0,N105_LRPS,N105_LRP048,SmallTruck
13,MediumTruck9241,60,0,N105_LRP048,N105_LRPS,MediumTruck
14,HeavyTruck9293,46,0,N207_LRPE,N208_LRPE,HeavyTruck
15,MiniBus9309,42,0,N207_LRPE,N208_LRPE,MiniBus
16,MediumTruck9306,43,0,N204_LRPS,N204_LRPE,MediumTruck
17,MiniBus9340,34,0,N207_LRPS,N204_LRPS,MiniBus
18,MediumTruck9256,60,0,N105_LRPS,N105_LRP048,MediumTruck
19,LargeBus9270,56,0,N104_LRPS,N104_LRPE,LargeBus
20,SmallTruck9311,46,0,N208_LRPE,N207_LRPE,SmallTruck
21,MediumTruck9408,11,0,N1_LRPS,N2_LRPS,MediumTruck
22,MediumTruck9338,37,0,N204_LRPS,N207_LRPS,MediumTruck
23,MediumTruck9322,43,0,N204_LRPS,N204_LRPE,MediumTruck
24,SmallTruck9323,43,0,N204_LRPE,N204_LRPS,SmallTruck
25,MiniBus9262,65,0,N208_LRPS,N208_LRPE,MiniBus
26,MediumTruck9273,60,0,N105_LRP048,N105_LRPS,MediumTruck
27,SmallTruck9448,5,0,N105_LRPS,N2_LRPS,SmallTruck
28,SmallTruck9246,71,0,N208_LRPS,N208_LRPE,SmallTruck
29,MediumTruck9247,71,0,N208_LRPE,N208_LRPS,MediumTruck
30,MediumTruck9271,61,0,N104_LRPE,N104_LRPS,MediumTruck
31,HeavyTruck9235,73,0,N2_LRPE,N208_LRPE,HeavyTruck
32,LargeBus9267,67,0,N2_LRPE,N208_LRPE,LargeBus
33,SmallTruck9355,43,0,N204_LRPE,N204_LRPS,SmallTruck
34,MediumTruck9304,60,0,N105_LRPS,N105_LRP048,MediumTruck
35,MediumTruck9302,61,0,N104_LRPS,N104_LRPE,MediumTruck
36,LargeBus9318,56,0,N104_LRPS,N104_LRPE,LargeBus
37,MiniBus9319,56,0,N104_LRPE,N104_LRPS,MiniBus
38,MediumTruck9357,46,0,N207_LRPE,N208_LRPE,MediumTruck
39,MiniBus9375,42,0,N208_LRPE,N207_LRPE,MiniBus
40,SmallTruck9371,43,0,N204_LRPE,N204_LRPS,SmallTruck
41,SmallTruck9245,84,0,N207_LRPE,N207_LRPS,SmallTruck
42,LargeBus9387,39,0,N204_LRPE,N204_LRPS,LargeBus
43,MediumTruck9496,5,0,N105_LRPS,N2_LRPS,MediumTruck
44,SmallTruck9294,71,0,N208_LRPS,N208_LRPE,SmallTruck
45,SmallTruck9295,71,0,N208_LRPE,N208_LRPS,SmallTruck
46,MediumTruck9226,93,0,N204_LRPS,N207_LRPE,MediumTruck
47,MediumTruck9260,84,0,N207_LRPS,N207_LRPE,MediumTruck
48,SmallTruck9276,79,0,N207_LRPS,N204_LRPE,SmallTruck
49,MediumTruck9337,59,0,N105_LRP048,N2_LRPS,MediumTruck
50,MiniBus9326,65,0,N208_LRPS,N208_LRPE,MiniBus
51,MediumTruck9336,60,0,N105_LRPS,N105_LRP048,MediumTruck
52,SmallTruck9512,5,0,N105_LRPS,N2_LRPS,SmallTruck
53,SmallTruck9310,71,0,N208_LRPS,N208_LRPE,SmallTruck
54,MediumTruck9335,61,0,N104_LRPE,N104_LRPS,MediumTruck
55,LargeBus9342,65,0,N208_LRPS,N208_LRPE,LargeBus
56,HeavyTruck9352,60,0,N105_LRPS,N105_LRP048,HeavyTruck
57,MediumTruck9353,60,0,N105_LRP048,N105_LRPS,MediumTruck
58,MediumTruck9327,71,0,N208_LRPE,N208_LRPS,MediumTruck
59,MediumTruck9351,61,0,N104_LRPE,N104_LRPS,MediumTruck
60,MediumTruck9220,102,0,N102_LRPS,N102_LRPE,MediumTruck
61,MediumTruck9221,102,0,N102_LRPE,N102_LRPS,MediumTruck
62,MediumTruck9231,102,0,N208_LRPE,N207_LRPS,MediumTruck
63,MiniBus9423,42,0,N208_LRPE,N207_LRPE,MiniBus
64,SmallTruck9418,43,0,N204_LRPS,N204_LRPE,SmallTruck
65,LargeBus9316,74,0,N102_LRPS,N104_LRPS,LargeBus
66,MediumTruck9328,69,0,N1_LRPS,N105_LRP048,MediumTruck
67,MediumTruck9368,60,0,N105_LRPS,N105_LRP048,MediumTruck
68,MediumTruck9366,61,0,N104_LRPS,N104_LRPE,MediumTruck
69,MediumTruck9367,61,0,N104_LRPE,N104_LRPS,MediumTruck
70,MediumTruck9237,102,0,N102_LRPE,N102_LRPS,MediumTruck
71,SmallTruck9452,37,0,N207_LRPS,N204_LRPS,SmallTruck
72,MiniBus9229,108,0,N207_LRPE,N2_LRPE,MiniBus
73,MiniBus9374,65,0,N208_LRPS,N208_LRPE,MiniBus
74,HeavyTruck9384,60,0,N105_LRPS,N105_LRP048,HeavyTruck
75,MediumTruck9385,60,0,N105_LRP048,N105_LRPS,MediumTruck
76,SmallTruck9359,71,0,N208_LRPE,N208_LRPS,SmallTruck
77,MediumTruck9383,61,0,N104_LRPE,N104_LRPS,MediumTruck
78,SmallTruck9252,102,0,N102_LRPS,N102_LRPE,SmallTruck
79,SmallTruck9263,102,0,N208_LRPE,N207_LRPS,SmallTruck
80,MediumTruck9451,43,0,N204_LRPE,N204_LRPS,MediumTruck
81,MediumTruck9400,60,0,N105_LRPS,N105_LRP048,MediumTruck
82,MediumTruck9398,61,0,N104_LRPS,N104_LRPE,MediumTruck
83,LargeBus9415,56,0,N104_LRPE,N104_LRPS,LargeBus
84,MediumTruck9455,46,0,N208_LRPE,N207_LRPE,MediumTruck
85,MediumTruck9552,11,0,N1_LRPS,N2_LRPS,MediumTruck
86,MediumTruck9219,118,0,N2_LRPE,N207_LRPE,MediumTruck
87,MediumTruck9466,43,0,N204_LRPS,N204_LRPE,MediumTruck
88,MiniBus9406,65,0,N208_LRPS,N208_LRPE,MiniBus
89,HeavyTruck9592,5,0,N105_LRPS,N2_LRPS,HeavyTruck
90,MediumTruck9284,101,0,N102_LRPS,N1_LRPS,MediumTruck
91,MediumTruck9414,61,0,N104_LRPS,N104_LRPE,MediumTruck
92,LargeBus9317,93,0,N102_LRPE,N102_LRPS,LargeBus
93,MediumTruck9433,60,0,N105_LRP048,N105_LRPS,MediumTruck
94,LargeBus9447,56,0,N104_LRPE,N104_LRPS,LargeBus
95,MiniBus9332,93,0,N102_LRPS,N102_LRPE,MiniBus
96,MediumTruck9499,43,0,N204_LRPE,N204_LRPS,MediumTruck
97,MediumTruck9624,5,0,N105_LRPS,N2_LRPS,MediumTruck
98,MediumTruck9278,116,0,N208_LRPS,N207_LRPE,MediumTruck
99,LargeBus9405,76,0,N207_LRPE,N207_LRPS,LargeBus
100,MediumTruck9422,71,0,N208_LRPS,N208_LRPE,MediumTruck
101,LargeBus9427,67,0,N2_LRPE,N208_LRPE,LargeBus
102,HeavyTruck9532,37,0,N207_LRPS,N204_LRPS,HeavyTruck
103,HeavyTruck9411,73,0,N2_LRPE,N208_LRPE,HeavyTruck
104,MediumTruck9388,84,0,N207_LRPS,N207_LRPE,MediumTruck
105,MediumTruck9465,59,0,N105_LRP048,N2_LRPS,MediumTruck
106,MiniBus9531,39,0,N204_LRPE,N204_LRPS,MiniBus
107,SmallTruck9463,61,0,N104_LRPE,N104_LRPS,SmallTruck
108,SmallTruck9517,46,0,N207_LRPE,N208_LRPE,SmallTruck
109,MediumTruck9333,102,0,N102_LRPE,N102_LRPS,MediumTruck
110,LargeBus9365,93,0,N102_LRPE,N102_LRPS,LargeBus
111,MediumTruck9439,73,0,N208_LRPE,N2_LRPE,MediumTruck
112,MediumTruck9530,43,0,N204_LRPS,N204_LRPE,MediumTruck
113,MediumTruck9404,84,0,N207_LRPS,N207_LRPE,MediumTruck
114,LargeBus9428,74,0,N102_LRPS,N104_LRPS,LargeBus
115,MediumTruck9480,60,0,N105_LRPS,N105_LRP048,MediumTruck
116,MediumTruck9412,81,0,N102_LRPS,N104_LRPS,MediumTruck
117,HeavyTruck9454,71,0,N208_LRPS,N208_LRPE,HeavyTruck
118,MediumTruck9478,61,0,N104_LRPS,N104_LRPE,MediumTruck
119,MediumTruck9479,61,0,N104_LRPE,N104_LRPS,MediumTruck
120,LargeBus9495,56,0,N104_LRPE,N104_LRPS,LargeBus
121,MediumTruck9564,37,0,N207_LRPS,N204_LRPS,MediumTruck
122,MediumTruck9547,43,0,N204_LRPE,N204_LRPS,MediumTruck
123,MediumTruck9421,84,0,N207_LRPE,N207_LRPS,MediumTruck
124,MediumTruck9224,145,0,N105_LRPS,N204_LRPS,MediumTruck
125,MediumTruck9430,81,0,N104_LRPS,N102_LRPS,MediumTruck
126,MediumTruck9255,137,0,N104_LRPE,N102_LRPS,MediumTruck
127,MediumTruck9364,102,0,N102_LRPS,N102_LRPE,MediumTruck
128,MediumTruck9325,118,0,N207_LRPE,N2_LRPE,MediumTruck
129,MediumTruck9562,43,0,N204_LRPS,N204_LRPE,MediumTruck
130,SmallTruck9563,43,0,N204_LRPE,N204_LRPS,SmallTruck
131,SmallTruck9436,84,0,N207_LRPS,N207_LRPE,SmallTruck
132,MediumTruck9513,60,0,N105_LRP048,N105_LRPS,MediumTruck
133,MiniBus9469,76,0,N207_LRPE,N207_LRPS,MiniBus
134,MiniBus9483,72,0,N204_LRPE,N207_LRPS,MiniBus
135,SmallTruck9594,37,0,N204_LRPS,N207_LRPS,SmallTruck
136,MediumTruck9579,43,0,N204_LRPE,N204_LRPS,MediumTruck
137,MiniBus9518,65,0,N208_LRPS,N208_LRPE,MiniBus
138,MediumTruck9460,81,0,N102_LRPS,N104_LRPS,MediumTruck
139,MediumTruck9396,102,0,N102_LRPS,N102_LRPE,MediumTruck
140,MediumTruck9595,43,0,N204_LRPE,N204_LRPS,MediumTruck
141,SmallTruck9504,69,0,N1_LRPS,N105_LRP048,SmallTruck
142,SmallTruck9545,59,0,N105_LRP048,N2_LRPS,SmallTruck
143,MiniBus9535,65,0,N208_LRPE,N208_LRPS,MiniBus
144,MiniBus9500,76,0,N207_LRPS,N207_LRPE,MiniBus
145,MediumTruck9519,71,0,N208_LRPE,N208_LRPS,MediumTruck
146,MediumTruck9413,102,0,N102_LRPE,N102_LRPS,MediumTruck
147,MediumTruck9529,69,0,N105_LRP048,N1_LRPS,MediumTruck
148,MediumTruck9494,81,0,N104_LRPS,N102_LRPS,MediumTruck
149,LargeBus9516,76,0,N207_LRPS,N207_LRPE,LargeBus
150,SmallTruck9558,61,0,N104_LRPS,N104_LRPE,SmallTruck
151,MediumTruck9559,61,0,N104_LRPE,N104_LRPS,MediumTruck
152,MediumTruck9613,46,0,N207_LRPE,N208_LRPE,MediumTruck
153,SmallTruck9429,102,0,N102_LRPE,N102_LRPS,SmallTruck
154,MediumTruck9642,37,0,N204_LRPS,N207_LRPS,MediumTruck
155,MediumTruck9389,118,0,N207_LRPE,N2_LRPE,MediumTruck
156,MediumTruck9627,43,0,N204_LRPE,N204_LRPS,MediumTruck
157,MediumTruck9746,5,0,N2_LRPS,N105_LRPS,MediumTruck
158,SmallTruck9551,71,0,N208_LRPE,N208_LRPS,SmallTruck
159,MediumTruck9574,61,0,N104_LRPS,N104_LRPE,MediumTruck
160,SmallTruck9575,61,0,N104_LRPE,N104_LRPS,SmallTruck
161,SmallTruck9631,46,0,N208_LRPE,N207_LRPE,SmallTruck
162,LargeBus9555,67,0,N2_LRPE,N208_LRPE,LargeBus
163,MiniBus9582,65,0,N208_LRPS,N208_LRPE,MiniBus
164,SmallTruck9593,60,0,N105_LRP048,N105_LRPS,SmallTruck
165,MediumTruck9762,5,0,N2_LRPS,N105_LRPS,MediumTruck
166,HeavyTruck9591,61,0,N104_LRPE,N104_LRPS,HeavyTruck
167,MediumTruck9567,73,0,N208_LRPE,N2_LRPE,MediumTruck
168,SmallTruck9658,43,0,N204_LRPS,N204_LRPE,SmallTruck
169,SmallTruck9244,174,0,N207_LRPS,N2_LRPE,SmallTruck
170,MediumTruck9609,60,0,N105_LRP048,N105_LRPS,MediumTruck
171,LargeBus9760,10,0,N1_LRPS,N2_LRPS,LargeBus
172,MediumTruck9484,101,0,N207_LRPS,N208_LRPE,MediumTruck
173,SmallTruck9476,102,0,N102_LRPS,N102_LRPE,SmallTruck
174,MediumTruck9477,102,0,N102_LRPE,N102_LRPS,MediumTruck
175,LargeBus9600,63,0,N1_LRPS,N105_LRP048,LargeBus
176,SmallTruck9675,43,0,N204_LRPE,N204_LRPS,SmallTruck
177,MediumTruck9548,84,0,N207_LRPS,N207_LRPE,MediumTruck
178,MediumTruck9625,59,0,N105_LRP048,N2_LRPS,MediumTruck
179,HeavyTruck9492,102,0,N102_LRPS,N102_LRPE,HeavyTruck
180,MiniBus9554,83,0,N2_LRPS,N102_LRPS,MiniBus
181,MediumTruck9690,43,0,N204_LRPS,N204_LRPE,MediumTruck
182,MediumTruck9640,60,0,N105_LRPS,N105_LRP048,MediumTruck
183,SmallTruck9614,71,0,N208_LRPS,N208_LRPE,SmallTruck
184,MediumTruck9615,71,0,N208_LRPE,N208_LRPS,MediumTruck
