,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,MediumTruck99106,5,0.18103627800490624,N2_LRPS,N105_LRPS,MediumTruck
1,MediumTruck99112,6,0.07965532451487914,N105_LRPS,N2_LRPS,MediumTruck
2,HeavyTruck99128,6,0.16081189842948385,N105_LRPS,N2_LRPS,HeavyTruck
3,MediumTruck99154,14,2.104947856193185,N2_LRPS,N1_LRPS,MediumTruck
4,MediumTruck99192,6,0.036150596206963044,N105_LRPS,N2_LRPS,MediumTruck
5,LargeBus99083,43,2.9587900808283902,N204_LRPE,N204_LRPS,LargeBus
6,LargeBus99082,44,3.6498409495749335,N204_LRPS,N204_LRPE,LargeBus
7,MediumTruck99087,46,0,N208_LRPE,N207_LRPE,MediumTruck
8,MiniBus99103,42,0,N208_LRPE,N207_LRPE,MiniBus
9,SmallTruck99098,47,3.1716465812627703,N204_LRPS,N204_LRPE,SmallTruck
10,SmallTruck99099,47,2.153421019888945,N204_LRPE,N204_LRPS,SmallTruck
11,SmallTruck99234,5,0.041890079530597354,N2_LRPS,N105_LRPS,SmallTruck
12,SmallTruck99114,46,2.5654066863143816,N204_LRPS,N204_LRPE,SmallTruck
13,LargeBus99130,43,2.145075119581678,N204_LRPS,N204_LRPE,LargeBus
14,MediumTruck99132,43,1.6266369691591853,N207_LRPS,N204_LRPS,MediumTruck
15,MediumTruck99250,5,0.5405325291704538,N2_LRPS,N105_LRPS,MediumTruck
16,SmallTruck99256,6,0.12372626759761694,N105_LRPS,N2_LRPS,SmallTruck
17,MediumTruck99079,62,0.6587432979453324,N104_LRPE,N104_LRPS,MediumTruck
18,MediumTruck99146,42,0.6997980824725405,N204_LRPS,N207_LRPS,MediumTruck
19,MediumTruck99080,63,0.6248666299910186,N105_LRPS,N105_LRP048,MediumTruck
20,SmallTruck99097,62,0.5607263098328181,N105_LRP048,N105_LRPS,SmallTruck
21,MediumTruck99162,42,0.5731467488600502,N204_LRPS,N207_LRPS,MediumTruck
22,MediumTruck99248,12,0.810230270588096,N1_LRPS,N2_LRPS,MediumTruck
23,MiniBus99178,39,0.9055010971945131,N204_LRPS,N207_LRPS,MiniBus
24,MediumTruck99282,6,1.081697826047945,N2_LRPS,N105_LRPS,MediumTruck
25,MediumTruck99081,72,1.6626248538404995,N105_LRP048,N1_LRPS,MediumTruck
26,MediumTruck99111,62,0.23032698757692785,N104_LRPE,N104_LRPS,MediumTruck
27,SmallTruck99086,73,0.22397203969339965,N208_LRPS,N208_LRPE,SmallTruck
