,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,SmallTruck13842,5,0,N2_LRPS,N105_LRPS,SmallTruck
1,SmallTruck13824,11,0,N1_LRPS,N2_LRPS,SmallTruck
2,SmallTruck13896,5,0,N105_LRPS,N2_LRPS,SmallTruck
3,LargeBus13904,10,0,N1_LRPS,N2_LRPS,LargeBus
4,SmallTruck13834,43,0,N204_LRPS,N204_LRPE,SmallTruck
5,SmallTruck13835,43,0,N204_LRPE,N204_LRPS,SmallTruck
6,MediumTruck13837,46,0,N207_LRPE,N208_LRPE,MediumTruck
7,SmallTruck13851,43,0,N204_LRPE,N204_LRPS,SmallTruck
8,HeavyTruck13976,5,0,N105_LRPS,N2_LRPS,HeavyTruck
9,MediumTruck13866,43,0,N204_LRPS,N204_LRPE,MediumTruck
10,SmallTruck13867,43,0,N204_LRPE,N204_LRPS,SmallTruck
11,MediumTruck13882,43,0,N204_LRPS,N204_LRPE,MediumTruck
12,SmallTruck13883,43,0,N204_LRPE,N204_LRPS,SmallTruck
13,MediumTruck13833,59,0,N105_LRP048,N2_LRPS,MediumTruck
14,SmallTruck13832,60,0,N105_LRPS,N105_LRP048,SmallTruck
15,MediumTruck13830,61,0,N104_LRPS,N104_LRPE,MediumTruck
16,MediumTruck13916,37,0,N207_LRPS,N204_LRPS,MediumTruck
17,MediumTruck13898,43,0,N204_LRPS,N204_LRPE,MediumTruck
18,MediumTruck13899,43,0,N204_LRPE,N204_LRPS,MediumTruck
19,SmallTruck13903,46,0,N208_LRPE,N207_LRPE,SmallTruck
20,SmallTruck14000,11,0,N1_LRPS,N2_LRPS,SmallTruck
21,SmallTruck13914,43,0,N204_LRPS,N204_LRPE,SmallTruck
22,SmallTruck13915,43,0,N204_LRPE,N204_LRPS,SmallTruck
23,LargeBus13930,39,0,N204_LRPS,N204_LRPE,LargeBus
24,MediumTruck13864,60,0,N105_LRPS,N105_LRP048,MediumTruck
25,SmallTruck13838,71,0,N208_LRPS,N208_LRPE,SmallTruck
26,MediumTruck13862,61,0,N104_LRPS,N104_LRPE,MediumTruck
27,HeavyTruck13917,46,0,N207_LRPE,N208_LRPE,HeavyTruck
28,SmallTruck13931,43,0,N204_LRPE,N204_LRPS,SmallTruck
29,MiniBus13946,39,0,N204_LRPS,N204_LRPE,MiniBus
30,LargeBus13947,39,0,N204_LRPE,N204_LRPS,LargeBus
31,LargeBus14050,4,0,N2_LRPS,N105_LRPS,LargeBus
32,SmallTruck13880,60,0,N105_LRPS,N105_LRP048,SmallTruck
33,MediumTruck13881,60,0,N105_LRP048,N105_LRPS,MediumTruck
34,MediumTruck13854,71,0,N208_LRPS,N208_LRPE,MediumTruck
35,MediumTruck13855,71,0,N208_LRPE,N208_LRPS,MediumTruck
36,MediumTruck13879,61,0,N104_LRPE,N104_LRPS,MediumTruck
37,LargeBus13894,56,0,N104_LRPS,N104_LRPE,LargeBus
38,MediumTruck13843,73,0,N2_LRPE,N208_LRPE,MediumTruck
39,MediumTruck13897,59,0,N105_LRP048,N2_LRPS,MediumTruck
40,MediumTruck13871,71,0,N208_LRPE,N208_LRPS,MediumTruck
41,MediumTruck13895,61,0,N104_LRPE,N104_LRPS,MediumTruck
42,SmallTruck13951,46,0,N208_LRPE,N207_LRPE,SmallTruck
43,SmallTruck13962,43,0,N204_LRPS,N204_LRPE,SmallTruck
44,MediumTruck13963,43,0,N204_LRPE,N204_LRPS,MediumTruck
45,SmallTruck13912,60,0,N105_LRPS,N105_LRP048,SmallTruck
46,MediumTruck13913,60,0,N105_LRP048,N105_LRPS,MediumTruck
47,LargeBus14064,10,0,N1_LRPS,N2_LRPS,LargeBus
48,MediumTruck13844,81,0,N102_LRPS,N104_LRPS,MediumTruck
49,LargeBus13869,76,0,N207_LRPE,N207_LRPS,LargeBus
50,MediumTruck13887,71,0,N208_LRPE,N208_LRPS,MediumTruck
51,SmallTruck13910,61,0,N104_LRPS,N104_LRPE,SmallTruck
52,MiniBus13983,42,0,N208_LRPE,N207_LRPE,MiniBus
53,MediumTruck13853,84,0,N207_LRPE,N207_LRPS,MediumTruck
54,SmallTruck13928,60,0,N105_LRPS,N105_LRP048,SmallTruck
55,MediumTruck13929,60,0,N105_LRP048,N105_LRPS,MediumTruck
56,MediumTruck14098,5,0,N2_LRPS,N105_LRPS,MediumTruck
57,MiniBus13885,76,0,N207_LRPE,N207_LRPS,MiniBus
58,MediumTruck13902,71,0,N208_LRPS,N208_LRPE,MediumTruck
59,MediumTruck13926,61,0,N104_LRPS,N104_LRPE,MediumTruck
60,MediumTruck13927,61,0,N104_LRPE,N104_LRPS,MediumTruck
61,MiniBus13942,56,0,N104_LRPS,N104_LRPE,MiniBus
62,MediumTruck13938,59,0,N2_LRPS,N105_LRP048,MediumTruck
63,MediumTruck13945,60,0,N105_LRP048,N105_LRPS,MediumTruck
64,MediumTruck13878,81,0,N104_LRPS,N102_LRPS,MediumTruck
65,MediumTruck13919,71,0,N208_LRPE,N208_LRPS,MediumTruck
66,HeavyTruck13997,46,0,N207_LRPE,N208_LRPE,HeavyTruck
67,MediumTruck14011,43,0,N204_LRPE,N204_LRPS,MediumTruck
68,MediumTruck13884,84,0,N207_LRPS,N207_LRPE,MediumTruck
69,SmallTruck13960,60,0,N105_LRPS,N105_LRP048,SmallTruck
70,SmallTruck13892,81,0,N102_LRPS,N104_LRPS,SmallTruck
71,MediumTruck13935,71,0,N208_LRPE,N208_LRPS,MediumTruck
72,SmallTruck13828,102,0,N102_LRPS,N102_LRPE,SmallTruck
73,SmallTruck13829,102,0,N102_LRPE,N102_LRPS,SmallTruck
74,MediumTruck14026,43,0,N204_LRPS,N204_LRPE,MediumTruck
