,Truck id,Bridge id,Waiting time,Type
0,MediumTruck82180,N1_LRP083a,0,MediumTruck
1,MediumTruck82182,N104_LRPSa,0,MediumTruck
2,MediumTruck82186,N2_LRP117b,0,MediumTruck
3,MediumTruck82186,N2_LRP117a,0,MediumTruck
4,MediumTruck82191,N2_LRP228b,0,MediumTruck
5,MediumTruck82180,N1_LRP083b,0,MediumTruck
6,SmallTruck82181,N102_LRP082a,0,SmallTruck
7,MediumTruck82176,N1_LRP001a,0,MediumTruck
8,HeavyTruck82177,N1_LRP456c,0,HeavyTruck
9,SmallTruck82179,N2_LRP285c,0,SmallTruck
10,MediumTruck82189,N207_LRP066b,0,MediumTruck
11,MediumTruck82191,N2_LRP226d,0,MediumTruck
12,MediumTruck82191,N2_LRP226c,0,MediumTruck
13,HeavyTruck82177,N1_LRP456a,0,HeavyTruck
14,SmallTruck82179,N2_LRP285a,0,SmallTruck
15,SmallTruck82179,N2_LRP284c,0,SmallTruck
16,MediumTruck82191,N2_LRP225c,0,MediumTruck
17,HeavyTruck82177,N1_LRP455a,0,HeavyTruck
18,SmallTruck82179,N2_LRP284b,0,SmallTruck
19,SmallTruck82184,N105_LRP003a,0,SmallTruck
20,SmallTruck82179,N2_LRP283b,0,SmallTruck
21,MediumTruck82190,N208_LRP004c,0,MediumTruck
22,MediumTruck82191,N2_LRP224b,0,MediumTruck
23,MediumTruck82198,N104_LRPSa,0,MediumTruck
24,MediumTruck82200,N1_LRP012a,0.016669790492691485,MediumTruck
25,MediumTruck82202,N2_LRP117b,0,MediumTruck
26,MediumTruck82202,N2_LRP117a,0,MediumTruck
27,MediumTruck82176,N1_LRP004b,0,MediumTruck
28,MediumTruck82183,N104_LRP044d,0,MediumTruck
29,SmallTruck82197,N102_LRP082a,0,SmallTruck
30,MediumTruck82200,N1_LRP012b,0,MediumTruck
31,MediumTruck82204,N2_LRP146a,0,MediumTruck
32,HeavyTruck82177,N1_LRP452e,0,HeavyTruck
33,HeavyTruck82177,N1_LRP452d,0,HeavyTruck
34,MediumTruck82180,N1_LRP088a,0,MediumTruck
35,SmallTruck82184,N105_LRP005c,0,SmallTruck
36,SmallTruck82184,N105_LRP006a,0,SmallTruck
37,MiniBus82192,N1_LRP001a,0,MiniBus
38,LargeBus82193,N1_LRP456c,0,LargeBus
39,MediumTruck82195,N2_LRP285c,0,MediumTruck
40,MediumTruck82200,N1_LRP014a,0,MediumTruck
41,HeavyTruck82177,N1_LRP452c,0,HeavyTruck
42,HeavyTruck82177,N1_LRP452a,0,HeavyTruck
43,HeavyTruck82177,N1_LRP451e,0,HeavyTruck
44,HeavyTruck82185,N105_LRP042b,0,HeavyTruck
45,MediumTruck82189,N207_LRP061d,0,MediumTruck
46,LargeBus82193,N1_LRP456a,0,LargeBus
47,MediumTruck82195,N2_LRP285a,0,MediumTruck
48,MediumTruck82195,N2_LRP284c,0,MediumTruck
49,MediumTruck82198,N1_LRP145a,0,MediumTruck
50,LargeBus82205,N2_LRP188a,0,LargeBus
51,MediumTruck82207,N208_LRP055a,0,MediumTruck
52,HeavyTruck82177,N1_LRP451b,0,HeavyTruck
53,HeavyTruck82177,N1_LRP450e,0,HeavyTruck
54,MediumTruck82191,N2_LRP221b,0,MediumTruck
55,LargeBus82193,N1_LRP455a,0,LargeBus
56,MediumTruck82195,N2_LRP284b,0,MediumTruck
57,LargeBus82205,N2_LRP187b,0,LargeBus
58,HeavyTruck82177,N1_LRP450c,0,HeavyTruck
59,HeavyTruck82177,N1_LRP450a,0,HeavyTruck
60,HeavyTruck82185,N105_LRP041c,0.11382988803915019,HeavyTruck
61,MediumTruck82186,N2_LRP108a,0,MediumTruck
62,MediumTruck82188,N207_LRP008c,0,MediumTruck
63,MiniBus82192,N1_LRP004b,0,MiniBus
64,MediumTruck82195,N2_LRP283b,0,MediumTruck
