,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,MediumTruck83730,5,0,N2_LRPS,N105_LRPS,MediumTruck
1,MediumTruck83712,11,0,N1_LRPS,N2_LRPS,MediumTruck
2,SmallTruck83776,15,0,N1_LRPS,N105_LRPS,SmallTruck
3,MediumTruck83832,5,0,N105_LRPS,N2_LRPS,MediumTruck
4,MediumTruck83738,40,0.46492354195555274,N204_LRPS,N207_LRPS,MediumTruck
5,MediumTruck83848,5,0,N105_LRPS,N2_LRPS,MediumTruck
6,SmallTruck83739,43,0,N204_LRPE,N204_LRPS,SmallTruck
7,LargeBus83754,39,0,N204_LRPS,N204_LRPE,LargeBus
8,SmallTruck83755,43,0,N204_LRPE,N204_LRPS,SmallTruck
9,MediumTruck83786,40,0.42303799344426185,N204_LRPS,N207_LRPS,MediumTruck
10,LargeBus83872,10,0,N1_LRPS,N2_LRPS,LargeBus
11,MediumTruck83719,61,0,N104_LRPE,N104_LRPS,MediumTruck
12,SmallTruck83720,62,0.909736040176618,N105_LRPS,N105_LRP048,SmallTruck
13,MediumTruck83721,62,0.4558348267271131,N105_LRP048,N105_LRPS,MediumTruck
14,MediumTruck83787,43,0,N204_LRPE,N204_LRPS,MediumTruck
15,MiniBus83803,39,0,N204_LRPE,N204_LRPS,MiniBus
16,MediumTruck83737,61,0.3838203730830674,N105_LRP048,N2_LRPS,MediumTruck
17,MediumTruck83736,62,0.9263083264474653,N105_LRPS,N105_LRP048,MediumTruck
18,MediumTruck83750,61,0,N104_LRPS,N104_LRPE,MediumTruck
19,MediumTruck83751,61,0,N104_LRPE,N104_LRPS,MediumTruck
20,LargeBus83767,56,0,N104_LRPE,N104_LRPS,LargeBus
21,SmallTruck83752,62,0.451691973771189,N105_LRPS,N105_LRP048,SmallTruck
22,MediumTruck83753,62,0.62102461229881,N105_LRP048,N105_LRPS,MediumTruck
23,MediumTruck83818,43,0,N204_LRPS,N204_LRPE,MediumTruck
24,MediumTruck83912,15,0,N105_LRPS,N1_LRPS,MediumTruck
25,MiniBus83759,67,0.5714389145339902,N208_LRPE,N208_LRPS,MiniBus
26,LargeBus83837,42,0,N207_LRPE,N208_LRPE,LargeBus
27,MediumTruck83834,43,0,N204_LRPS,N204_LRPE,MediumTruck
28,SmallTruck83743,74,0.156782986218113,N208_LRPE,N208_LRPS,SmallTruck
29,LargeBus83741,76,0,N207_LRPE,N207_LRPS,LargeBus
30,SmallTruck83783,61,0,N104_LRPE,N104_LRPS,SmallTruck
31,LargeBus83799,56,0,N104_LRPE,N104_LRPS,LargeBus
32,MiniBus83775,67,0.26221353611551595,N208_LRPE,N208_LRPS,MiniBus
33,MediumTruck83785,62,0.2475294005658477,N105_LRP048,N105_LRPS,MediumTruck
34,SmallTruck83851,43,0,N204_LRPE,N204_LRPS,SmallTruck
35,MediumTruck83724,84,0,N207_LRPS,N207_LRPE,MediumTruck
36,MediumTruck83725,84,0,N207_LRPE,N207_LRPS,MediumTruck
37,LargeBus83867,39,0,N204_LRPE,N204_LRPS,LargeBus
38,MediumTruck83970,5,0,N2_LRPS,N105_LRPS,MediumTruck
39,MediumTruck83976,5,0,N105_LRPS,N2_LRPS,MediumTruck
40,MediumTruck83774,73,0.4331873020400936,N208_LRPS,N208_LRPE,MediumTruck
41,MediumTruck83740,84,0,N207_LRPS,N207_LRPE,MediumTruck
42,MediumTruck83801,64,2.375217289670278,N105_LRP048,N105_LRPS,MediumTruck
43,SmallTruck83884,40,1.3038459688064583,N207_LRPS,N204_LRPS,SmallTruck
44,SmallTruck83960,15,0,N105_LRPS,N1_LRPS,SmallTruck
45,LargeBus83772,76,0,N207_LRPS,N207_LRPE,LargeBus
46,MediumTruck83810,61,1.2545157371500426,N2_LRPS,N105_LRP048,MediumTruck
47,SmallTruck83814,61,0,N104_LRPS,N104_LRPE,SmallTruck
48,SmallTruck83815,61,0,N104_LRPE,N104_LRPS,SmallTruck
49,MiniBus83831,56,0,N104_LRPE,N104_LRPS,MiniBus
50,MediumTruck83817,62,0.5156329556748687,N105_LRP048,N105_LRPS,MediumTruck
51,SmallTruck83882,43,0,N204_LRPS,N204_LRPE,SmallTruck
52,SmallTruck83791,74,1.1086340848484215,N208_LRPE,N208_LRPS,SmallTruck
53,SmallTruck83816,64,2.3874500447257323,N105_LRPS,N105_LRP048,SmallTruck
54,MediumTruck83830,61,0,N104_LRPS,N104_LRPE,MediumTruck
55,MediumTruck83833,62,0.455072605182384,N105_LRP048,N105_LRPS,MediumTruck
56,MediumTruck83806,73,0.2353388473206616,N208_LRPS,N208_LRPE,MediumTruck
57,MediumTruck83773,84,0,N207_LRPE,N207_LRPS,MediumTruck
58,HeavyTruck84018,5,0,N2_LRPS,N105_LRPS,HeavyTruck
59,MiniBus83863,56,0,N104_LRPE,N104_LRPS,MiniBus
60,LargeBus83716,102,7.806128911090511,N102_LRPS,N102_LRPE,LargeBus
61,SmallTruck83849,62,0.35611488799107227,N105_LRP048,N105_LRPS,SmallTruck
62,MiniBus83932,37,1.6487910045492689,N207_LRPS,N204_LRPS,MiniBus
63,MediumTruck83822,73,0.876186555085971,N208_LRPS,N208_LRPE,MediumTruck
64,SmallTruck83788,84,0,N207_LRPS,N207_LRPE,SmallTruck
65,LargeBus83748,95,1.0074259505348997,N102_LRPS,N102_LRPE,LargeBus
66,MediumTruck83764,91,0.5046267664954979,N102_LRPS,N2_LRPS,MediumTruck
67,MiniBus83878,56,0,N104_LRPS,N104_LRPE,MiniBus
68,MiniBus83854,67,0.4879693855956059,N208_LRPS,N208_LRPE,MiniBus
69,MediumTruck83865,62,0.11576003747808344,N105_LRP048,N105_LRPS,MediumTruck
70,SmallTruck83838,73,0.31927852696812475,N208_LRPS,N208_LRPE,SmallTruck
71,HeavyTruck83804,84,0,N207_LRPS,N207_LRPE,HeavyTruck
72,MediumTruck83805,84,0,N207_LRPE,N207_LRPS,MediumTruck
73,MediumTruck83732,105,2.8002993199510606,N102_LRPS,N102_LRPE,MediumTruck
74,SmallTruck83733,105,2.354069533349712,N102_LRPE,N102_LRPS,SmallTruck
75,MediumTruck83933,46,0,N207_LRPE,N208_LRPE,MediumTruck
76,MediumTruck83880,62,0.18602955109860303,N105_LRPS,N105_LRP048,MediumTruck
77,MediumTruck83731,108,30.84519810764902,N2_LRPE,N208_LRPE,MediumTruck
78,MediumTruck83947,43,0,N204_LRPE,N204_LRPS,MediumTruck
79,MediumTruck83747,104,27.9601550055055,N2_LRPE,N208_LRPE,MediumTruck
80,SmallTruck83763,100,23.942707351481143,N2_LRPE,N208_LRPE,SmallTruck
81,MediumTruck83962,43,0,N204_LRPS,N204_LRPE,MediumTruck
82,MediumTruck83963,43,0,N204_LRPE,N204_LRPS,MediumTruck
83,MediumTruck83871,74,0.14393694669418078,N208_LRPE,N208_LRPS,MediumTruck
84,MediumTruck84056,15,0,N105_LRPS,N1_LRPS,MediumTruck
85,LargeBus83869,76,0,N207_LRPE,N207_LRPS,LargeBus
86,MediumTruck83913,62,0.09794504482620181,N105_LRP048,N105_LRPS,MediumTruck
87,MiniBus83983,42,0,N208_LRPE,N207_LRPE,MiniBus
88,SmallTruck83781,103,1.2788845635840478,N102_LRPE,N102_LRPS,SmallTruck
89,SmallTruck83979,43,0,N204_LRPE,N204_LRPS,SmallTruck
90,SmallTruck83887,74,0.27286704123058575,N208_LRPE,N208_LRPS,SmallTruck
91,MiniBus83903,69,2.5115548975193835,N208_LRPE,N208_LRPS,MiniBus
92,MediumTruck83780,105,3.0162141439114305,N102_LRPS,N102_LRPE,MediumTruck
93,MediumTruck83926,61,0,N104_LRPS,N104_LRPE,MediumTruck
94,MediumTruck83927,61,0,N104_LRPE,N104_LRPS,MediumTruck
95,LargeBus83943,56,0,N104_LRPE,N104_LRPS,LargeBus
96,MediumTruck83928,62,0.7454431357923926,N105_LRPS,N105_LRP048,MediumTruck
97,SmallTruck83929,62,0.513082983087041,N105_LRP048,N105_LRPS,SmallTruck
98,MiniBus83918,68,1.4760189519499403,N208_LRPS,N208_LRPE,MiniBus
99,SmallTruck83995,43,0,N204_LRPE,N204_LRPS,SmallTruck
100,SmallTruck83797,104,1.339695675562774,N102_LRPE,N102_LRPS,SmallTruck
101,MediumTruck83868,84,0,N207_LRPS,N207_LRPE,MediumTruck
102,MediumTruck84012,39,0.397030196686432,N207_LRPS,N204_LRPS,MediumTruck
103,MiniBus83900,76,0,N207_LRPS,N207_LRPE,MiniBus
104,LargeBus83828,97,2.7612296691240688,N102_LRPS,N102_LRPE,LargeBus
105,MiniBus83934,67,0.9016396864475889,N208_LRPS,N208_LRPE,MiniBus
106,MediumTruck83944,62,0.6160459274462808,N105_LRPS,N105_LRP048,MediumTruck
107,HeavyTruck83796,108,5.244781565484095,N102_LRPS,N102_LRPE,HeavyTruck
108,SmallTruck83813,103,0.933856700825022,N102_LRPE,N102_LRPS,SmallTruck
109,MediumTruck83945,63,1.1486245412247384,N105_LRP048,N105_LRPS,MediumTruck
110,MediumTruck84010,43,0,N204_LRPS,N204_LRPE,MediumTruck
111,MediumTruck84028,40,0.24001563378489266,N207_LRPS,N204_LRPS,MediumTruck
112,MediumTruck83958,61,0,N104_LRPS,N104_LRPE,MediumTruck
113,MediumTruck83959,61,0,N104_LRPE,N104_LRPS,MediumTruck
114,MiniBus84042,39,0,N204_LRPS,N204_LRPE,MiniBus
115,SmallTruck83975,61,0,N104_LRPE,N104_LRPS,SmallTruck
116,MiniBus83991,56,0,N104_LRPE,N104_LRPS,MiniBus
117,SmallTruck83977,62,0.46547751624472433,N105_LRP048,N105_LRPS,SmallTruck
118,MediumTruck83990,61,0,N104_LRPS,N104_LRPE,MediumTruck
119,MiniBus84006,56,0,N104_LRPS,N104_LRPE,MiniBus
120,MiniBus83757,137,27.71043865624754,N207_LRPE,N2_LRPE,MiniBus
121,MediumTruck83845,107,4.98023802413037,N102_LRPE,N102_LRPS,MediumTruck
122,SmallTruck83992,62,0.34677766716446945,N105_LRPS,N105_LRP048,SmallTruck
123,SmallTruck84059,43,0,N204_LRPE,N204_LRPS,SmallTruck
124,MediumTruck83821,119,0.7549383889789388,N207_LRPE,N208_LRPS,MediumTruck
125,MediumTruck83860,104,2.456513133202741,N102_LRPS,N102_LRPE,MediumTruck
126,MediumTruck83723,150,7.3312022443874145,N204_LRPE,N207_LRPE,MediumTruck
127,SmallTruck83967,75,2.3444842601849705,N208_LRPE,N208_LRPS,SmallTruck
128,SmallTruck84007,61,0,N104_LRPE,N104_LRPS,SmallTruck
129,MiniBus83999,67,0.23029265827383083,N208_LRPE,N208_LRPS,MiniBus
130,MediumTruck84009,62,1.04892316379285,N105_LRP048,N105_LRPS,MediumTruck
131,SmallTruck83949,84,0,N207_LRPE,N207_LRPS,SmallTruck
132,SmallTruck83877,105,2.992191999027443,N102_LRPE,N102_LRPS,SmallTruck
133,MediumTruck83940,85,0.7585719358316774,N102_LRPS,N104_LRPS,MediumTruck
134,SmallTruck84022,61,0,N104_LRPS,N104_LRPE,SmallTruck
135,MediumTruck84025,61,0.8376537826616708,N105_LRP048,N2_LRPS,MediumTruck
136,MediumTruck84077,46,0,N207_LRPE,N208_LRPE,MediumTruck
137,SmallTruck84079,46,0,N208_LRPE,N207_LRPE,SmallTruck
138,MediumTruck84091,43,0,N204_LRPE,N204_LRPS,MediumTruck
139,MediumTruck83876,109,6.591605668874166,N102_LRPS,N102_LRPE,MediumTruck
140,SmallTruck84038,61,0,N104_LRPS,N104_LRPE,SmallTruck
141,MediumTruck84039,61,0,N104_LRPE,N104_LRPS,MediumTruck
142,SmallTruck84093,46,0,N207_LRPE,N208_LRPE,SmallTruck
143,MediumTruck84108,41,1.5941643968298909,N207_LRPS,N204_LRPS,MediumTruck
144,MiniBus84031,67,0.327787266595037,N208_LRPE,N208_LRPS,MiniBus
145,SmallTruck84040,62,0.8389405047709739,N105_LRPS,N105_LRP048,SmallTruck
146,SmallTruck84014,73,0.311908999523308,N208_LRPS,N208_LRPE,SmallTruck
147,SmallTruck83909,104,1.8368547835759492,N102_LRPE,N102_LRPS,SmallTruck
148,MediumTruck83981,84,0,N207_LRPE,N207_LRPS,MediumTruck
149,MiniBus84122,39,0,N204_LRPS,N204_LRPE,MiniBus
150,SmallTruck84054,61,0,N104_LRPS,N104_LRPE,SmallTruck
151,MediumTruck84057,62,0.24258120849989562,N105_LRP048,N105_LRPS,MediumTruck
152,LargeBus84004,78,3.0232793797939643,N102_LRPS,N104_LRPS,LargeBus
153,SmallTruck84123,43,0,N204_LRPE,N204_LRPS,SmallTruck
154,HeavyTruck83925,104,1.5992676561413708,N102_LRPE,N102_LRPS,HeavyTruck
155,MediumTruck83996,84,0,N207_LRPS,N207_LRPE,MediumTruck
156,MiniBus84027,76,2.5818203056552176,N204_LRPE,N207_LRPS,MiniBus
157,MiniBus84029,76,0,N207_LRPE,N207_LRPS,MiniBus
158,SmallTruck84070,61,0,N104_LRPS,N104_LRPE,SmallTruck
159,MediumTruck84071,61,0,N104_LRPE,N104_LRPS,MediumTruck
160,MiniBus84087,56,0,N104_LRPE,N104_LRPS,MiniBus
161,SmallTruck84127,46,0,N208_LRPE,N207_LRPE,SmallTruck
162,MediumTruck84224,11,0,N1_LRPS,N2_LRPS,MediumTruck
