,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,SmallTruck53000,5,0,N105_LRPS,N2_LRPS,SmallTruck
1,SmallTruck53048,15,0,N105_LRPS,N1_LRPS,SmallTruck
2,LargeBus53003,39,0,N204_LRPE,N204_LRPS,LargeBus
3,HeavyTruck53018,37,0,N204_LRPS,N207_LRPS,HeavyTruck
4,MiniBus53019,39,0,N204_LRPE,N204_LRPS,MiniBus
5,LargeBus53035,39,0,N204_LRPE,N204_LRPS,LargeBus
6,HeavyTruck53034,43,0,N204_LRPS,N204_LRPE,HeavyTruck
7,MiniBus53001,55,0,N105_LRP048,N105_LRPS,MiniBus
8,MediumTruck53154,5,0,N2_LRPS,N105_LRPS,MediumTruck
9,HeavyTruck53037,46,0,N207_LRPE,N208_LRPE,HeavyTruck
10,SmallTruck53068,37,0,N207_LRPS,N204_LRPS,SmallTruck
11,SmallTruck53051,43,0,N204_LRPE,N204_LRPS,SmallTruck
12,MiniBus53016,55,0,N105_LRPS,N105_LRP048,MiniBus
13,LargeBus53017,55,0,N105_LRP048,N105_LRPS,LargeBus
14,MediumTruck52998,61,0,N104_LRPS,N104_LRPE,MediumTruck
15,MediumTruck52999,61,0,N104_LRPE,N104_LRPS,MediumTruck
16,MiniBus53014,56,0,N104_LRPS,N104_LRPE,MiniBus
17,LargeBus53033,54,0,N105_LRP048,N2_LRPS,LargeBus
18,LargeBus53082,39,0,N204_LRPS,N204_LRPE,LargeBus
19,MiniBus53032,55,0,N105_LRPS,N105_LRP048,MiniBus
20,MiniBus53030,56,0,N104_LRPS,N104_LRPE,MiniBus
21,LargeBus53098,39,0,N204_LRPS,N204_LRPE,LargeBus
22,HeavyTruck53007,71,0,N208_LRPE,N208_LRPS,HeavyTruck
23,MediumTruck53031,61,0,N104_LRPE,N104_LRPS,MediumTruck
24,MiniBus53115,39,0,N204_LRPE,N204_LRPS,MiniBus
25,MediumTruck53224,5,0,N105_LRPS,N2_LRPS,MediumTruck
26,HeavyTruck53023,71,0,N208_LRPE,N208_LRPS,HeavyTruck
27,SmallTruck53046,61,0,N104_LRPS,N104_LRPE,SmallTruck
28,HeavyTruck53101,46,0,N207_LRPE,N208_LRPE,HeavyTruck
29,HeavyTruck53132,37,0,N207_LRPS,N204_LRPS,HeavyTruck
30,MiniBus53131,39,0,N204_LRPE,N204_LRPS,MiniBus
31,HeavyTruck53065,60,0,N105_LRP048,N105_LRPS,HeavyTruck
32,MiniBus53218,10,0,N2_LRPS,N1_LRPS,MiniBus
33,SmallTruck53062,61,0,N104_LRPS,N104_LRPE,SmallTruck
34,MiniBus53056,63,0,N1_LRPS,N105_LRP048,MiniBus
35,SmallTruck53130,43,0,N204_LRPS,N204_LRPE,SmallTruck
36,LargeBus53070,65,0,N208_LRPS,N208_LRPE,LargeBus
37,LargeBus53151,42,0,N208_LRPE,N207_LRPE,LargeBus
38,MediumTruck53021,84,0,N207_LRPE,N207_LRPS,MediumTruck
39,MiniBus53162,39,0,N204_LRPS,N204_LRPE,MiniBus
40,MiniBus53086,65,0,N208_LRPS,N208_LRPE,MiniBus
41,MediumTruck53240,15,0,N105_LRPS,N1_LRPS,MediumTruck
42,LargeBus53052,76,0,N207_LRPS,N207_LRPE,LargeBus
43,LargeBus53053,76,0,N207_LRPE,N207_LRPS,LargeBus
44,MiniBus52996,93,0,N102_LRPS,N102_LRPE,MiniBus
45,SmallTruck53036,84,0,N207_LRPS,N207_LRPE,SmallTruck
46,SmallTruck53072,69,0,N1_LRPS,N105_LRP048,SmallTruck
47,LargeBus53103,65,0,N208_LRPE,N208_LRPS,LargeBus
48,SmallTruck53087,71,0,N208_LRPE,N208_LRPS,SmallTruck
49,SmallTruck53110,61,0,N104_LRPS,N104_LRPE,SmallTruck
50,MiniBus53127,56,0,N104_LRPE,N104_LRPS,MiniBus
51,LargeBus53083,72,0,N204_LRPE,N207_LRPS,LargeBus
52,MiniBus53194,39,0,N204_LRPS,N204_LRPE,MiniBus
53,LargeBus53085,76,0,N207_LRPE,N207_LRPS,LargeBus
54,SmallTruck53102,71,0,N208_LRPS,N208_LRPE,SmallTruck
55,MiniBus53142,56,0,N104_LRPS,N104_LRPE,MiniBus
56,MiniBus53119,67,0,N208_LRPE,N2_LRPE,MiniBus
57,MediumTruck53210,37,0,N204_LRPS,N207_LRPS,MediumTruck
58,MiniBus53028,93,0,N102_LRPS,N102_LRPE,MiniBus
59,SmallTruck53069,84,0,N207_LRPE,N207_LRPS,SmallTruck
60,MiniBus53094,74,0,N104_LRPS,N102_LRPS,MiniBus
61,MiniBus53211,39,0,N204_LRPE,N204_LRPS,MiniBus
62,MediumTruck53144,60,0,N105_LRPS,N105_LRP048,MediumTruck
63,SmallTruck53280,15,0,N1_LRPS,N105_LRPS,SmallTruck
64,SmallTruck53143,61,0,N104_LRPE,N104_LRPS,SmallTruck
65,HeavyTruck53012,102,0,N102_LRPS,N102_LRPE,HeavyTruck
66,MiniBus53044,93,0,N102_LRPS,N102_LRPE,MiniBus
67,SmallTruck53084,84,0,N207_LRPS,N207_LRPE,SmallTruck
68,HeavyTruck53160,60,0,N105_LRPS,N105_LRP048,HeavyTruck
69,SmallTruck53330,5,0,N2_LRPS,N105_LRPS,SmallTruck
70,SmallTruck53135,71,0,N208_LRPE,N208_LRPS,SmallTruck
71,SmallTruck53158,61,0,N104_LRPS,N104_LRPE,SmallTruck
