,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,MediumTruck14600,5,0,N105_LRPS,N2_LRPS,MediumTruck
1,HeavyTruck14616,5,0,N105_LRPS,N2_LRPS,HeavyTruck
2,SmallTruck14604,37,0,N207_LRPS,N204_LRPS,SmallTruck
3,SmallTruck14688,11,0,N1_LRPS,N2_LRPS,SmallTruck
4,MediumTruck14618,37,0,N204_LRPS,N207_LRPS,MediumTruck
5,MiniBus14623,42,0,N208_LRPE,N207_LRPE,MiniBus
6,MediumTruck14619,43,0,N204_LRPE,N204_LRPS,MediumTruck
7,SmallTruck14634,43,0,N204_LRPS,N204_LRPE,SmallTruck
8,SmallTruck14635,43,0,N204_LRPE,N204_LRPS,SmallTruck
9,MediumTruck14760,5,0,N105_LRPS,N2_LRPS,MediumTruck
10,SmallTruck14599,61,0,N104_LRPE,N104_LRPS,SmallTruck
11,LargeBus14614,56,0,N104_LRPS,N104_LRPE,LargeBus
12,MediumTruck14682,37,0,N204_LRPS,N207_LRPS,MediumTruck
13,SmallTruck14792,5,0,N105_LRPS,N2_LRPS,SmallTruck
14,SmallTruck14615,61,0,N104_LRPE,N104_LRPS,SmallTruck
15,SmallTruck14671,46,0,N208_LRPE,N207_LRPE,SmallTruck
16,MediumTruck14683,43,0,N204_LRPE,N204_LRPS,MediumTruck
17,LargeBus14698,39,0,N204_LRPS,N204_LRPE,LargeBus
18,MiniBus14716,34,0,N207_LRPS,N204_LRPS,MiniBus
19,MiniBus14622,65,0,N208_LRPS,N208_LRPE,MiniBus
20,MediumTruck14632,60,0,N105_LRPS,N105_LRP048,MediumTruck
21,MediumTruck14633,60,0,N105_LRP048,N105_LRPS,MediumTruck
22,MediumTruck14630,61,0,N104_LRPS,N104_LRPE,MediumTruck
23,LargeBus14646,56,0,N104_LRPS,N104_LRPE,LargeBus
24,SmallTruck14699,43,0,N204_LRPE,N204_LRPS,SmallTruck
25,LargeBus14596,75,0.8954839782505715,N102_LRPS,N104_LRPS,LargeBus
26,MediumTruck14784,15,0,N1_LRPS,N105_LRPS,MediumTruck
27,SmallTruck14647,61,0,N104_LRPE,N104_LRPS,SmallTruck
28,MiniBus14662,56,0,N104_LRPS,N104_LRPE,MiniBus
29,SmallTruck14714,43,0,N204_LRPS,N204_LRPE,SmallTruck
30,MediumTruck14664,60,0,N105_LRPS,N105_LRP048,MediumTruck
31,MediumTruck14665,60,0,N105_LRP048,N105_LRPS,MediumTruck
32,LargeBus14733,42,0,N207_LRPE,N208_LRPE,LargeBus
33,SmallTruck14605,84,0,N207_LRPE,N207_LRPS,SmallTruck
34,SmallTruck14649,69,0,N105_LRP048,N1_LRPS,SmallTruck
35,SmallTruck14681,60,0,N105_LRP048,N105_LRPS,SmallTruck
36,MediumTruck14654,71,0,N208_LRPS,N208_LRPE,MediumTruck
37,SmallTruck14679,61,0,N104_LRPE,N104_LRPS,SmallTruck
38,LargeBus14694,56,0,N104_LRPS,N104_LRPE,LargeBus
39,SmallTruck14746,43,0,N204_LRPS,N204_LRPE,SmallTruck
40,MediumTruck14620,84,0,N207_LRPS,N207_LRPE,MediumTruck
41,LargeBus14762,39,0,N204_LRPS,N204_LRPE,LargeBus
42,LargeBus14848,10,0,N1_LRPS,N2_LRPS,LargeBus
43,SmallTruck14695,61,0,N104_LRPE,N104_LRPS,SmallTruck
44,LargeBus14711,56,0,N104_LRPE,N104_LRPS,LargeBus
45,LargeBus14675,68,0.23393292460900855,N2_LRPE,N208_LRPE,LargeBus
46,SmallTruck14763,43,0,N204_LRPE,N204_LRPS,SmallTruck
47,MediumTruck14636,84,0,N207_LRPS,N207_LRPE,MediumTruck
48,SmallTruck14637,84,0,N207_LRPE,N207_LRPS,SmallTruck
49,MiniBus14702,65,0,N208_LRPS,N208_LRPE,MiniBus
50,MediumTruck14712,60,0,N105_LRPS,N105_LRP048,MediumTruck
51,MiniBus14864,10,0,N1_LRPS,N2_LRPS,MiniBus
52,LargeBus14613,93,0,N102_LRPE,N102_LRPS,LargeBus
53,SmallTruck14644,83,1.1368112217693112,N102_LRPS,N104_LRPS,SmallTruck
54,HeavyTruck14652,84,0,N207_LRPS,N207_LRPE,HeavyTruck
55,LargeBus14898,4,0,N2_LRPS,N105_LRPS,LargeBus
56,SmallTruck14703,71,0,N208_LRPE,N208_LRPS,SmallTruck
57,MiniBus14799,42,0,N208_LRPE,N207_LRPE,MiniBus
58,MiniBus14629,93,0,N102_LRPE,N102_LRPS,MiniBus
59,SmallTruck14794,43,0,N204_LRPS,N204_LRPE,SmallTruck
60,MediumTruck14669,84,0,N207_LRPE,N207_LRPS,MediumTruck
61,SmallTruck14744,60,0,N105_LRPS,N105_LRP048,SmallTruck
62,MediumTruck14745,60,0,N105_LRP048,N105_LRPS,MediumTruck
63,MediumTruck14608,101,0,N1_LRPS,N102_LRPS,MediumTruck
64,MiniBus14700,76,0,N207_LRPS,N207_LRPE,MiniBus
65,MediumTruck14719,71,0,N208_LRPE,N208_LRPS,MediumTruck
66,SmallTruck14826,37,0,N204_LRPS,N207_LRPS,SmallTruck
67,LargeBus14645,93,0,N102_LRPE,N102_LRPS,LargeBus
68,MediumTruck14761,59,0,N105_LRP048,N2_LRPS,MediumTruck
69,MiniBus14750,65,0,N208_LRPS,N208_LRPE,MiniBus
70,SmallTruck14734,71,0,N208_LRPS,N208_LRPE,SmallTruck
71,HeavyTruck14692,82,0.9965345183400417,N102_LRPS,N104_LRPS,HeavyTruck
72,SmallTruck14842,37,0,N204_LRPS,N207_LRPS,SmallTruck
73,MediumTruck14827,43,0,N204_LRPE,N204_LRPS,MediumTruck
74,SmallTruck14775,61,0,N104_LRPE,N104_LRPS,SmallTruck
75,MediumTruck14860,37,0,N207_LRPS,N204_LRPS,MediumTruck
76,LargeBus14782,65,0,N208_LRPS,N208_LRPE,LargeBus
77,SmallTruck14766,71,0,N208_LRPS,N208_LRPE,SmallTruck
78,SmallTruck14790,61,0,N104_LRPS,N104_LRPE,SmallTruck
79,MediumTruck14660,102,0,N102_LRPS,N102_LRPE,MediumTruck
80,MediumTruck14777,69,0,N105_LRP048,N1_LRPS,MediumTruck
81,SmallTruck14755,75,1.026321126001356,N2_LRPE,N208_LRPE,SmallTruck
82,MiniBus14798,65,0,N208_LRPS,N208_LRPE,MiniBus
83,MediumTruck14808,60,0,N105_LRPS,N105_LRP048,MediumTruck
84,MediumTruck14984,5,0,N105_LRPS,N2_LRPS,MediumTruck
85,SmallTruck14783,71,0,N208_LRPE,N208_LRPS,SmallTruck
86,SmallTruck14807,61,0,N104_LRPE,N104_LRPS,SmallTruck
87,LargeBus14709,93,0,N102_LRPE,N102_LRPS,LargeBus
88,MediumTruck14874,43,0,N204_LRPS,N204_LRPE,MediumTruck
89,MediumTruck14724,90,0,N102_LRPS,N2_LRPS,MediumTruck
90,MiniBus14815,65,0,N208_LRPE,N208_LRPS,MiniBus
91,SmallTruck14824,60,0,N105_LRPS,N105_LRP048,SmallTruck
92,MediumTruck14825,60,0,N105_LRP048,N105_LRPS,MediumTruck
93,MediumTruck14823,61,0,N104_LRPE,N104_LRPS,MediumTruck
94,SmallTruck14756,82,0.5835521428484801,N102_LRPS,N104_LRPS,SmallTruck
95,MediumTruck14891,43,0,N204_LRPE,N204_LRPS,MediumTruck
96,MediumTruck14764,84,0,N207_LRPS,N207_LRPE,MediumTruck
97,MediumTruck14779,79,0,N204_LRPE,N207_LRPS,MediumTruck
98,LargeBus14906,39,0,N204_LRPS,N204_LRPE,LargeBus
99,LargeBus14788,75,0.8159448555572009,N102_LRPS,N104_LRPS,LargeBus
100,MiniBus14830,65,0,N208_LRPS,N208_LRPE,MiniBus
101,MiniBus14831,65,0,N208_LRPE,N208_LRPS,MiniBus
102,SmallTruck14839,61,0,N104_LRPE,N104_LRPS,SmallTruck
103,MediumTruck14772,82,0.8581525076735548,N102_LRPS,N104_LRPS,MediumTruck
104,MediumTruck14607,138,0,N208_LRPE,N204_LRPS,MediumTruck
105,MiniBus14740,93,0,N102_LRPS,N102_LRPE,MiniBus
106,MediumTruck14856,60,0,N105_LRPS,N105_LRP048,MediumTruck
107,MiniBus14655,126,0,N208_LRPE,N204_LRPS,MiniBus
108,MediumTruck14854,61,0,N104_LRPS,N104_LRPE,MediumTruck
