,Truck id,Bridge id,Waiting time,Type
0,LargeBus32262,N104_LRPSa,0,LargeBus
1,MediumTruck32264,N1_LRP012a,0,MediumTruck
2,MediumTruck32264,N1_LRP012b,0,MediumTruck
3,SmallTruck32266,N2_LRP117b,0,SmallTruck
4,SmallTruck32266,N2_LRP117a,0,SmallTruck
5,MediumTruck32271,N2_LRP228b,0,MediumTruck
6,SmallTruck32260,N102_LRPSc,0,SmallTruck
7,MediumTruck32261,N102_LRP082a,0,MediumTruck
8,SmallTruck32268,N2_LRP146a,0,SmallTruck
9,SmallTruck32256,N1_LRP001a,0,SmallTruck
10,MediumTruck32257,N1_LRP456c,0,MediumTruck
11,MediumTruck32258,N1_LRP010b,0,MediumTruck
12,MediumTruck32258,N1_LRP010c,0,MediumTruck
13,MiniBus32259,N2_LRP285c,0,MiniBus
14,MiniBus32259,N2_LRP285a,0,MiniBus
15,SmallTruck32260,N102_LRP002a,0,SmallTruck
16,MediumTruck32264,N1_LRP014a,0,MediumTruck
17,LargeBus32269,N207_LRP066b,0,LargeBus
18,MediumTruck32271,N2_LRP226d,0,MediumTruck
19,MediumTruck32271,N2_LRP226c,0,MediumTruck
20,MediumTruck32257,N1_LRP456a,0,MediumTruck
21,MediumTruck32258,N1_LRP011a,0,MediumTruck
22,MiniBus32259,N2_LRP284c,0,MiniBus
23,MiniBus32259,N2_LRP284b,0,MiniBus
24,SmallTruck32260,N102_LRP002b,0,SmallTruck
25,SmallTruck32260,N102_LRP002c,0,SmallTruck
26,MediumTruck32271,N2_LRP225c,0,MediumTruck
27,MediumTruck32257,N1_LRP455a,0,MediumTruck
28,MiniBus32259,N2_LRP283b,0,MiniBus
29,MiniBus32270,N208_LRP004c,0,MiniBus
30,MediumTruck32271,N2_LRP224b,0,MediumTruck
31,MediumTruck32278,N104_LRPSa,0,MediumTruck
32,LargeBus32282,N2_LRP117b,0,LargeBus
33,LargeBus32282,N2_LRP117a,0,LargeBus
34,MediumTruck32287,N2_LRP228b,0,MediumTruck
35,SmallTruck32256,N1_LRP004b,0,SmallTruck
36,MediumTruck32263,N104_LRP044d,0,MediumTruck
37,SmallTruck32268,N2_LRP141b,0,SmallTruck
38,SmallTruck32268,N2_LRP141a,0,SmallTruck
39,LargeBus32277,N102_LRP082a,0,LargeBus
40,MediumTruck32257,N1_LRP452e,0,MediumTruck
41,MediumTruck32257,N1_LRP452d,0,MediumTruck
42,SmallTruck32268,N2_LRP140c,0,SmallTruck
43,LargeBus32269,N207_LRP061d,0,LargeBus
44,LargeBus32272,N1_LRP001a,0,LargeBus
45,MediumTruck32273,N1_LRP456c,0,MediumTruck
46,MiniBus32275,N2_LRP285c,0,MiniBus
47,MiniBus32275,N2_LRP285a,0,MiniBus
48,MediumTruck32287,N2_LRP226d,0,MediumTruck
49,MediumTruck32287,N2_LRP226c,0,MediumTruck
50,MediumTruck32257,N1_LRP452c,0,MediumTruck
51,MediumTruck32257,N1_LRP452a,0,MediumTruck
52,MediumTruck32257,N1_LRP451e,0,MediumTruck
53,MediumTruck32265,N105_LRP042b,0,MediumTruck
54,SmallTruck32268,N2_LRP140a,0,SmallTruck
55,SmallTruck32268,N2_LRP139b,0,SmallTruck
56,MediumTruck32273,N1_LRP456a,0,MediumTruck
57,MiniBus32275,N2_LRP284c,0,MiniBus
58,MiniBus32275,N2_LRP284b,0,MiniBus
59,MediumTruck32278,N1_LRP145a,0,MediumTruck
60,MediumTruck32287,N2_LRP225c,0,MediumTruck
61,MediumTruck32257,N1_LRP451b,0,MediumTruck
62,MediumTruck32257,N1_LRP450e,0.3674991624305952,MediumTruck
63,MediumTruck32264,N1_LRP020a,0,MediumTruck
64,SmallTruck32268,N2_LRP139a,0,SmallTruck
65,MediumTruck32271,N2_LRP221b,0,MediumTruck
66,MediumTruck32273,N1_LRP455a,0,MediumTruck
67,MiniBus32275,N2_LRP283b,0,MiniBus
68,MediumTruck32280,N105_LRP003a,0,MediumTruck
69,MediumTruck32285,N2_LRP188a,0,MediumTruck
70,MediumTruck32285,N2_LRP187b,0,MediumTruck
71,MediumTruck32257,N1_LRP450c,0,MediumTruck
72,MediumTruck32265,N105_LRP041c,0,MediumTruck
73,SmallTruck32266,N2_LRP108a,0,SmallTruck
74,SmallTruck32268,N2_LRP138b,0,SmallTruck
75,SmallTruck32268,N2_LRP138a,0,SmallTruck
76,LargeBus32272,N1_LRP004b,0,LargeBus
77,MediumTruck32278,N1_LRP143a,0,MediumTruck
78,MiniBus32286,N208_LRP004c,0,MiniBus
79,MediumTruck32287,N2_LRP224b,0,MediumTruck
80,MediumTruck32294,N104_LRPSa,0,MediumTruck
81,MiniBus32300,N2_LRP147a,0,MiniBus
82,MiniBus32300,N2_LRP147b,0,MiniBus
83,MiniBus32300,N2_LRP147d,0,MiniBus
