,Truck id,Travel time,Total waiting time,Created at,Removed at,Type
0,LargeBus34562,4,0,N2_LRPS,N105_LRPS,LargeBus
1,MediumTruck34576,11,0,N1_LRPS,N2_LRPS,MediumTruck
2,MediumTruck34648,5,0,N105_LRPS,N2_LRPS,MediumTruck
3,MediumTruck34658,5,0,N2_LRPS,N105_LRPS,MediumTruck
4,MediumTruck34570,43,0,N204_LRPS,N204_LRPE,MediumTruck
5,SmallTruck34690,5,0,N2_LRPS,N105_LRPS,SmallTruck
6,MediumTruck34696,5,0,N105_LRPS,N2_LRPS,MediumTruck
7,MiniBus34602,39,0,N204_LRPS,N204_LRPE,MiniBus
8,MiniBus34607,42,0,N208_LRPE,N207_LRPE,MiniBus
9,MediumTruck34618,37,0,N204_LRPS,N207_LRPS,MediumTruck
10,LargeBus34722,4,0,N2_LRPS,N105_LRPS,LargeBus
11,LargeBus34567,56,0,N104_LRPE,N104_LRPS,LargeBus
12,MediumTruck34605,46,0,N207_LRPE,N208_LRPE,MediumTruck
13,MediumTruck34568,60,0,N105_LRPS,N105_LRP048,MediumTruck
14,MediumTruck34566,61,0,N104_LRPS,N104_LRPE,MediumTruck
15,HeavyTruck34623,46,0,N208_LRPE,N207_LRPE,HeavyTruck
16,LargeBus34637,42,0,N207_LRPE,N208_LRPE,LargeBus
17,MediumTruck34584,60,0,N105_LRPS,N105_LRP048,MediumTruck
18,MediumTruck34728,15,0,N105_LRPS,N1_LRPS,MediumTruck
19,MiniBus34598,56,0,N104_LRPS,N104_LRPE,MiniBus
20,SmallTruck34650,43,0,N204_LRPS,N204_LRPE,SmallTruck
21,MiniBus34591,65,0,N208_LRPE,N208_LRPS,MiniBus
22,HeavyTruck34575,71,0,N208_LRPE,N208_LRPS,HeavyTruck
23,MediumTruck34599,61,0,N104_LRPE,N104_LRPS,MediumTruck
24,SmallTruck34666,43,0,N204_LRPS,N204_LRPE,SmallTruck
25,MiniBus34752,14,0,N1_LRPS,N105_LRPS,MiniBus
26,SmallTruck34617,60,0,N105_LRP048,N105_LRPS,SmallTruck
27,MediumTruck34590,71,0,N208_LRPS,N208_LRPE,MediumTruck
28,MiniBus34630,56,0,N104_LRPS,N104_LRPE,MiniBus
29,MiniBus34631,56,0,N104_LRPE,N104_LRPS,MiniBus
30,MediumTruck34579,73,0,N2_LRPE,N208_LRPE,MediumTruck
31,SmallTruck34626,59,0,N2_LRPS,N105_LRP048,SmallTruck
32,HeavyTruck34633,59,0,N105_LRP048,N2_LRPS,HeavyTruck
33,MiniBus34716,34,0,N207_LRPS,N204_LRPS,MiniBus
34,MediumTruck34606,71,0,N208_LRPS,N208_LRPE,MediumTruck
35,MediumTruck34699,43,0,N204_LRPE,N204_LRPS,MediumTruck
36,LargeBus34596,74,0,N102_LRPS,N104_LRPS,LargeBus
37,MiniBus34638,65,0,N208_LRPS,N208_LRPE,MiniBus
38,SmallTruck34649,60,0,N105_LRP048,N105_LRPS,SmallTruck
39,SmallTruck34784,15,0,N1_LRPS,N105_LRPS,SmallTruck
40,SmallTruck34580,81,0,N102_LRPS,N104_LRPS,SmallTruck
